0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
1672: Timestep is 2.07386
581: Timestep is 2.07386
1088: Timestep is 2.07386
1905: Timestep is 2.07386
1360: Timestep is 2.07386
0: Timestep is 2.07386
326: Timestep is 2.07386
816: Timestep is 2.07386
272: Timestep is 2.07386
1636: Timestep is 2.07386
546: Timestep is 2.07386
273: Timestep is 2.07386
1209: Timestep is 2.07386
40: Timestep is 2.07386
2012: Timestep is 2.07386
223: Timestep is 2.07386
275: Timestep is 2.07386
1218: Timestep is 2.07386
547: Timestep is 2.07386
2167: Timestep is 2.07386
1641: Timestep is 2.07386
551: Timestep is 2.07386
239: Timestep is 2.07386
282: Timestep is 2.07386
1268: Timestep is 2.07386
1907: Timestep is 2.07386
1649: Timestep is 2.07386
557: Timestep is 2.07386
1090: Timestep is 2.07386
1652: Timestep is 2.07386
1528: Timestep is 2.07386
818: Timestep is 2.07386
1091: Timestep is 2.07386
1911: Timestep is 2.07386
1364: Timestep is 2.07386
925: Timestep is 2.07386
1371: Timestep is 2.07386
1033: Timestep is 2.07386
1373: Timestep is 2.07386
1079: Timestep is 2.07386
1388: Timestep is 2.07386
817: Timestep is 2.07386
1914: Timestep is 2.07386
821: Timestep is 2.07386
825: Timestep is 2.07386
3: Timestep is 2.07386
285: Timestep is 2.07386
1092: Timestep is 2.07386
1653: Timestep is 2.07386
562: Timestep is 2.07386
1915: Timestep is 2.07386
1392: Timestep is 2.07386
828: Timestep is 2.07386
21: Timestep is 2.07386
286: Timestep is 2.07386
1093: Timestep is 2.07386
1669: Timestep is 2.07386
563: Timestep is 2.07386
1920: Timestep is 2.07386
1394: Timestep is 2.07386
830: Timestep is 2.07386
22: Timestep is 2.07386
287: Timestep is 2.07386
1103: Timestep is 2.07386
1674: Timestep is 2.07386
564: Timestep is 2.07386
1928: Timestep is 2.07386
1401: Timestep is 2.07386
831: Timestep is 2.07386
29: Timestep is 2.07386
290: Timestep is 2.07386
1118: Timestep is 2.07386
1678: Timestep is 2.07386
566: Timestep is 2.07386
1941: Timestep is 2.07386
1404: Timestep is 2.07386
837: Timestep is 2.07386
37: Timestep is 2.07386
295: Timestep is 2.07386
1681: Timestep is 2.07386
569: Timestep is 2.07386
1953: Timestep is 2.07386
1405: Timestep is 2.07386
42: Timestep is 2.07386
296: Timestep is 2.07386
571: Timestep is 2.07386
1122: Timestep is 2.07386
1687: Timestep is 2.07386
1128: Timestep is 2.07386
1132: Timestep is 2.07386
838: Timestep is 2.07386
1407: Timestep is 2.07386
1957: Timestep is 2.07386
841: Timestep is 2.07386
43: Timestep is 2.07386
298: Timestep is 2.07386
1415: Timestep is 2.07386
1963: Timestep is 2.07386
844: Timestep is 2.07386
53: Timestep is 2.07386
299: Timestep is 2.07386
578: Timestep is 2.07386
1417: Timestep is 2.07386
1693: Timestep is 2.07386
1967: Timestep is 2.07386
585: Timestep is 2.07386
845: Timestep is 2.07386
54: Timestep is 2.07386
301: Timestep is 2.07386
1418: Timestep is 2.07386
1697: Timestep is 2.07386
1975: Timestep is 2.07386
846: Timestep is 2.07386
55: Timestep is 2.07386
302: Timestep is 2.07386
1134: Timestep is 2.07386
586: Timestep is 2.07386
1423: Timestep is 2.07386
1698: Timestep is 2.07386
1979: Timestep is 2.07386
