0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
0: Timestep is 1.82146
1124: Timestep is 1.82146
1360: Timestep is 1.82146
1744: Timestep is 1.82146
544: Timestep is 1.82146
276: Timestep is 1.82146
816: Timestep is 1.82146
1981: Timestep is 1.82146
1307: Timestep is 1.82146
10: Timestep is 1.82146
624: Timestep is 1.82146
1089: Timestep is 1.82146
2032: Timestep is 1.82146
663: Timestep is 1.82146
1449: Timestep is 1.82146
1091: Timestep is 1.82146
874: Timestep is 1.82146
1632: Timestep is 1.82146
2034: Timestep is 1.82146
14: Timestep is 1.82146
1529: Timestep is 1.82146
1093: Timestep is 1.82146
948: Timestep is 1.82146
1637: Timestep is 1.82146
15: Timestep is 1.82146
2108: Timestep is 1.82146
1544: Timestep is 1.82146
977: Timestep is 1.82146
1641: Timestep is 1.82146
2150: Timestep is 1.82146
17: Timestep is 1.82146
1098: Timestep is 1.82146
1361: Timestep is 1.82146
669: Timestep is 1.82146
2154: Timestep is 1.82146
1014: Timestep is 1.82146
1642: Timestep is 1.82146
1117: Timestep is 1.82146
18: Timestep is 1.82146
1362: Timestep is 1.82146
1650: Timestep is 1.82146
804: Timestep is 1.82146
2157: Timestep is 1.82146
1120: Timestep is 1.82146
1029: Timestep is 1.82146
28: Timestep is 1.82146
1363: Timestep is 1.82146
1652: Timestep is 1.82146
815: Timestep is 1.82146
2167: Timestep is 1.82146
1122: Timestep is 1.82146
1065: Timestep is 1.82146
49: Timestep is 1.82146
1369: Timestep is 1.82146
1655: Timestep is 1.82146
548: Timestep is 1.82146
1905: Timestep is 1.82146
1138: Timestep is 1.82146
1070: Timestep is 1.82146
58: Timestep is 1.82146
1382: Timestep is 1.82146
1656: Timestep is 1.82146
1907: Timestep is 1.82146
1078: Timestep is 1.82146
488: Timestep is 1.82146
59: Timestep is 1.82146
1908: Timestep is 1.82146
1386: Timestep is 1.82146
1140: Timestep is 1.82146
1657: Timestep is 1.82146
561: Timestep is 1.82146
272: Timestep is 1.82146
60: Timestep is 1.82146
1142: Timestep is 1.82146
563: Timestep is 1.82146
274: Timestep is 1.82146
1157: Timestep is 1.82146
275: Timestep is 1.82146
1183: Timestep is 1.82146
277: Timestep is 1.82146
1195: Timestep is 1.82146
282: Timestep is 1.82146
565: Timestep is 1.82146
289: Timestep is 1.82146
290: Timestep is 1.82146
291: Timestep is 1.82146
566: Timestep is 1.82146
1391: Timestep is 1.82146
1658: Timestep is 1.82146
567: Timestep is 1.82146
294: Timestep is 1.82146
1909: Timestep is 1.82146
69: Timestep is 1.82146
1396: Timestep is 1.82146
1659: Timestep is 1.82146
568: Timestep is 1.82146
83: Timestep is 1.82146
1911: Timestep is 1.82146
1397: Timestep is 1.82146
1200: Timestep is 1.82146
818: Timestep is 1.82146
1664: Timestep is 1.82146
572: Timestep is 1.82146
302: Timestep is 1.82146
111: Timestep is 1.82146
1914: Timestep is 1.82146
1400: Timestep is 1.82146
820: Timestep is 1.82146
1666: Timestep is 1.82146
303: Timestep is 1.82146
125: Timestep is 1.82146
1916: Timestep is 1.82146
1402: Timestep is 1.82146
823: Timestep is 1.82146
1669: Timestep is 1.82146
304: Timestep is 1.82146
130: Timestep is 1.82146
1920: Timestep is 1.82146
1407: Timestep is 1.82146
1202: Timestep is 1.82146
825: Timestep is 1.82146
1675: Timestep is 1.82146
305: Timestep is 1.82146
131: Timestep is 1.82146
1921: Timestep is 1.82146
1419: Timestep is 1.82146
1676: Timestep is 1.82146
307: Timestep is 1.82146
1209: Timestep is 1.82146
830: Timestep is 1.82146
1212: Timestep is 1.82146
842: Timestep is 1.82146
573: Timestep is 1.82146
156: Timestep is 1.82146
1925: Timestep is 1.82146
1432: Timestep is 1.82146
844: Timestep is 1.82146
1677: Timestep is 1.82146
575: Timestep is 1.82146
312: Timestep is 1.82146
180: Timestep is 1.82146
1930: Timestep is 1.82146
1434: Timestep is 1.82146
1214: Timestep is 1.82146
853: Timestep is 1.82146
577: Timestep is 1.82146
325: Timestep is 1.82146
182: Timestep is 1.82146
1934: Timestep is 1.82146
1438: Timestep is 1.82146
1216: Timestep is 1.82146
