0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
0: Timestep is 1.73085
863: Timestep is 1.73085
1711: Timestep is 1.73085
1159: Timestep is 1.73085
1904: Timestep is 1.73085
1361: Timestep is 1.73085
548: Timestep is 1.73085
303: Timestep is 1.73085
1592: Timestep is 1.73085
1364: Timestep is 1.73085
1092: Timestep is 1.73085
1995: Timestep is 1.73085
75: Timestep is 1.73085
2025: Timestep is 1.73085
1879: Timestep is 1.73085
1906: Timestep is 1.73085
1907: Timestep is 1.73085
1632: Timestep is 1.73085
871: Timestep is 1.73085
927: Timestep is 1.73085
1083: Timestep is 1.73085
1365: Timestep is 1.73085
819: Timestep is 1.73085
1093: Timestep is 1.73085
1: Timestep is 1.73085
1367: Timestep is 1.73085
546: Timestep is 1.73085
405: Timestep is 1.73085
272: Timestep is 1.73085
275: Timestep is 1.73085
277: Timestep is 1.73085
1094: Timestep is 1.73085
1376: Timestep is 1.73085
547: Timestep is 1.73085
2: Timestep is 1.73085
1097: Timestep is 1.73085
1377: Timestep is 1.73085
549: Timestep is 1.73085
5: Timestep is 1.73085
1910: Timestep is 1.73085
279: Timestep is 1.73085
1110: Timestep is 1.73085
1379: Timestep is 1.73085
550: Timestep is 1.73085
14: Timestep is 1.73085
1634: Timestep is 1.73085
1913: Timestep is 1.73085
285: Timestep is 1.73085
15: Timestep is 1.73085
1636: Timestep is 1.73085
1112: Timestep is 1.73085
1914: Timestep is 1.73085
1380: Timestep is 1.73085
551: Timestep is 1.73085
287: Timestep is 1.73085
23: Timestep is 1.73085
1640: Timestep is 1.73085
1113: Timestep is 1.73085
1915: Timestep is 1.73085
1381: Timestep is 1.73085
561: Timestep is 1.73085
290: Timestep is 1.73085
1115: Timestep is 1.73085
568: Timestep is 1.73085
25: Timestep is 1.73085
1644: Timestep is 1.73085
1916: Timestep is 1.73085
821: Timestep is 1.73085
1645: Timestep is 1.73085
1920: Timestep is 1.73085
569: Timestep is 1.73085
295: Timestep is 1.73085
1118: Timestep is 1.73085
299: Timestep is 1.73085
822: Timestep is 1.73085
26: Timestep is 1.73085
1646: Timestep is 1.73085
570: Timestep is 1.73085
1923: Timestep is 1.73085
1394: Timestep is 1.73085
1119: Timestep is 1.73085
28: Timestep is 1.73085
823: Timestep is 1.73085
1653: Timestep is 1.73085
1130: Timestep is 1.73085
1924: Timestep is 1.73085
1397: Timestep is 1.73085
571: Timestep is 1.73085
302: Timestep is 1.73085
824: Timestep is 1.73085
1131: Timestep is 1.73085
1398: Timestep is 1.73085
577: Timestep is 1.73085
304: Timestep is 1.73085
30: Timestep is 1.73085
825: Timestep is 1.73085
1925: Timestep is 1.73085
1401: Timestep is 1.73085
1136: Timestep is 1.73085
580: Timestep is 1.73085
306: Timestep is 1.73085
31: Timestep is 1.73085
1930: Timestep is 1.73085
827: Timestep is 1.73085
1402: Timestep is 1.73085
32: Timestep is 1.73085
1144: Timestep is 1.73085
1931: Timestep is 1.73085
1403: Timestep is 1.73085
589: Timestep is 1.73085
309: Timestep is 1.73085
34: Timestep is 1.73085
832: Timestep is 1.73085
1147: Timestep is 1.73085
1936: Timestep is 1.73085
595: Timestep is 1.73085
310: Timestep is 1.73085
35: Timestep is 1.73085
1659: Timestep is 1.73085
1149: Timestep is 1.73085
1411: Timestep is 1.73085
314: Timestep is 1.73085
1663: Timestep is 1.73085
1151: Timestep is 1.73085
1937: Timestep is 1.73085
1668: Timestep is 1.73085
1153: Timestep is 1.73085
1412: Timestep is 1.73085
1155: Timestep is 1.73085
1413: Timestep is 1.73085
1160: Timestep is 1.73085
1414: Timestep is 1.73085
1676: Timestep is 1.73085
1415: Timestep is 1.73085
1162: Timestep is 1.73085
1417: Timestep is 1.73085
833: Timestep is 1.73085
44: Timestep is 1.73085
834: Timestep is 1.73085
1677: Timestep is 1.73085
1163: Timestep is 1.73085
1939: Timestep is 1.73085
596: Timestep is 1.73085
315: Timestep is 1.73085
45: Timestep is 1.73085
839: Timestep is 1.73085
1678: Timestep is 1.73085
598: Timestep is 1.73085
319: Timestep is 1.73085
46: Timestep is 1.73085
843: Timestep is 1.73085
1940: Timestep is 1.73085
322: Timestep is 1.73085
49: Timestep is 1.73085
844: Timestep is 1.73085
600: Timestep is 1.73085
53: Timestep is 1.73085
1941: Timestep is 1.73085
604: Timestep is 1.73085
323: Timestep is 1.73085
845: Timestep is 1.73085
1425: Timestep is 1.73085
607: Timestep is 1.73085
324: Timestep is 1.73085
846: Timestep is 1.73085
1942: Timestep is 1.73085
616: Timestep is 1.73085
55: Timestep is 1.73085
617: Timestep is 1.73085
334: Timestep is 1.73085
1943: Timestep is 1.73085
1427: Timestep is 1.73085
336: Timestep is 1.73085
60: Timestep is 1.73085
1679: Timestep is 1.73085
1164: Timestep is 1.73085
1948: Timestep is 1.73085
1429: Timestep is 1.73085
1685: Timestep is 1.73085
1167: Timestep is 1.73085
1688: Timestep is 1.73085
1168: Timestep is 1.73085
1954: Timestep is 1.73085
1430: Timestep is 1.73085
619: Timestep is 1.73085
339: Timestep is 1.73085
1690: Timestep is 1.73085
1170: Timestep is 1.73085
1431: Timestep is 1.73085
1432: Timestep is 1.73085
1691: Timestep is 1.73085
1175: Timestep is 1.73085
624: Timestep is 1.73085
347: Timestep is 1.73085
1434: Timestep is 1.73085
1182: Timestep is 1.73085
61: Timestep is 1.73085
851: Timestep is 1.73085
1693: Timestep is 1.73085
1955: Timestep is 1.73085
1442: Timestep is 1.73085
629: Timestep is 1.73085
357: Timestep is 1.73085
62: Timestep is 1.73085
864: Timestep is 1.73085
1703: Timestep is 1.73085
1184: Timestep is 1.73085
1958: Timestep is 1.73085
1445: Timestep is 1.73085
65: Timestep is 1.73085
866: Timestep is 1.73085
1194: Timestep is 1.73085
1963: Timestep is 1.73085
1448: Timestep is 1.73085
632: Timestep is 1.73085
358: Timestep is 1.73085
66: Timestep is 1.73085
870: Timestep is 1.73085
1197: Timestep is 1.73085
1964: Timestep is 1.73085
1450: Timestep is 1.73085
641: Timestep is 1.73085
359: Timestep is 1.73085
72: Timestep is 1.73085
873: Timestep is 1.73085
1200: Timestep is 1.73085
1965: Timestep is 1.73085
1453: Timestep is 1.73085
645: Timestep is 1.73085
361: Timestep is 1.73085
874: Timestep is 1.73085
362: Timestep is 1.73085
1704: Timestep is 1.73085
1454: Timestep is 1.73085
647: Timestep is 1.73085
364: Timestep is 1.73085
876: Timestep is 1.73085
1705: Timestep is 1.73085
1456: Timestep is 1.73085
77: Timestep is 1.73085
1710: Timestep is 1.73085
1457: Timestep is 1.73085
1713: Timestep is 1.73085
648: Timestep is 1.73085
1458: Timestep is 1.73085
1718: Timestep is 1.73085
79: Timestep is 1.73085
1459: Timestep is 1.73085
650: Timestep is 1.73085
89: Timestep is 1.73085
877: Timestep is 1.73085
1726: Timestep is 1.73085
1968: Timestep is 1.73085
368: Timestep is 1.73085
93: Timestep is 1.73085
884: Timestep is 1.73085
1735: Timestep is 1.73085
1202: Timestep is 1.73085
654: Timestep is 1.73085
109: Timestep is 1.73085
885: Timestep is 1.73085
1969: Timestep is 1.73085
655: Timestep is 1.73085
369: Timestep is 1.73085
110: Timestep is 1.73085
888: Timestep is 1.73085
1970: Timestep is 1.73085
657: Timestep is 1.73085
372: Timestep is 1.73085
112: Timestep is 1.73085
890: Timestep is 1.73085
1203: Timestep is 1.73085
1971: Timestep is 1.73085
658: Timestep is 1.73085
374: Timestep is 1.73085
891: Timestep is 1.73085
1972: Timestep is 1.73085
1738: Timestep is 1.73085
1204: Timestep is 1.73085
1977: Timestep is 1.73085
1460: Timestep is 1.73085
377: Timestep is 1.73085
894: Timestep is 1.73085
1739: Timestep is 1.73085
1205: Timestep is 1.73085
1978: Timestep is 1.73085
116: Timestep is 1.73085
1747: Timestep is 1.73085
1207: Timestep is 1.73085
1461: Timestep is 1.73085
388: Timestep is 1.73085
1755: Timestep is 1.73085
1215: Timestep is 1.73085
1465: Timestep is 1.73085
390: Timestep is 1.73085
1756: Timestep is 1.73085
1220: Timestep is 1.73085
1466: Timestep is 1.73085
118: Timestep is 1.73085
1467: Timestep is 1.73085
660: Timestep is 1.73085
1984: Timestep is 1.73085
119: Timestep is 1.73085
895: Timestep is 1.73085
1767: Timestep is 1.73085
1468: Timestep is 1.73085
661: Timestep is 1.73085
391: Timestep is 1.73085
120: Timestep is 1.73085
1992: Timestep is 1.73085
121: Timestep is 1.73085
903: Timestep is 1.73085
1787: Timestep is 1.73085
1996: Timestep is 1.73085
1469: Timestep is 1.73085
662: Timestep is 1.73085
904: Timestep is 1.73085
1790: Timestep is 1.73085
1224: Timestep is 1.73085
664: Timestep is 1.73085
1998: Timestep is 1.73085
124: Timestep is 1.73085
1470: Timestep is 1.73085
392: Timestep is 1.73085
1228: Timestep is 1.73085
667: Timestep is 1.73085
126: Timestep is 1.73085
918: Timestep is 1.73085
1231: Timestep is 1.73085
1999: Timestep is 1.73085
127: Timestep is 1.73085
924: Timestep is 1.73085
1476: Timestep is 1.73085
668: Timestep is 1.73085
395: Timestep is 1.73085
925: Timestep is 1.73085
1233: Timestep is 1.73085
2002: Timestep is 1.73085
1477: Timestep is 1.73085
1236: Timestep is 1.73085
2005: Timestep is 1.73085
1478: Timestep is 1.73085
397: Timestep is 1.73085
1249: Timestep is 1.73085
