0: output to qw.tmove.dmc.o
1406: Timestep is 1.15623161764706
1956: Timestep is 1.15623161764706
819: Timestep is 1.15623161764706
1957: Timestep is 1.15623161764706
1958: Timestep is 1.15623161764706
556: Timestep is 1.15623161764706
820: Timestep is 1.15623161764706
1970: Timestep is 1.15623161764706
1690: Timestep is 1.15623161764706
1088: Timestep is 1.15623161764706
288: Timestep is 1.15623161764706
823: Timestep is 1.15623161764706
1971: Timestep is 1.15623161764706
1702: Timestep is 1.15623161764706
1422: Timestep is 1.15623161764706
832: Timestep is 1.15623161764706
1089: Timestep is 1.15623161764706
290: Timestep is 1.15623161764706
1703: Timestep is 1.15623161764706
1090: Timestep is 1.15623161764706
1465: Timestep is 1.15623161764706
291: Timestep is 1.15623161764706
833: Timestep is 1.15623161764706
1712: Timestep is 1.15623161764706
1466: Timestep is 1.15623161764706
840: Timestep is 1.15623161764706
1091: Timestep is 1.15623161764706
341: Timestep is 1.15623161764706
1713: Timestep is 1.15623161764706
1092: Timestep is 1.15623161764706
1467: Timestep is 1.15623161764706
343: Timestep is 1.15623161764706
1144: Timestep is 1.15623161764706
1468: Timestep is 1.15623161764706
1973: Timestep is 1.15623161764706
1721: Timestep is 1.15623161764706
1469: Timestep is 1.15623161764706
344: Timestep is 1.15623161764706
1974: Timestep is 1.15623161764706
1723: Timestep is 1.15623161764706
853: Timestep is 1.15623161764706
1148: Timestep is 1.15623161764706
1975: Timestep is 1.15623161764706
1470: Timestep is 1.15623161764706
346: Timestep is 1.15623161764706
1736: Timestep is 1.15623161764706
854: Timestep is 1.15623161764706
1168: Timestep is 1.15623161764706
1488: Timestep is 1.15623161764706
364: Timestep is 1.15623161764706
1993: Timestep is 1.15623161764706
1737: Timestep is 1.15623161764706
0: Timestep is 1.15623161764706
899: Timestep is 1.15623161764706
1169: Timestep is 1.15623161764706
1490: Timestep is 1.15623161764706
365: Timestep is 1.15623161764706
1994: Timestep is 1.15623161764706
1738: Timestep is 1.15623161764706
9: Timestep is 1.15623161764706
904: Timestep is 1.15623161764706
1170: Timestep is 1.15623161764706
1995: Timestep is 1.15623161764706
1739: Timestep is 1.15623161764706
1360: Timestep is 1.15623161764706
366: Timestep is 1.15623161764706
10: Timestep is 1.15623161764706
908: Timestep is 1.15623161764706
1171: Timestep is 1.15623161764706
2000: Timestep is 1.15623161764706
1740: Timestep is 1.15623161764706
1361: Timestep is 1.15623161764706
367: Timestep is 1.15623161764706
60: Timestep is 1.15623161764706
1172: Timestep is 1.15623161764706
2001: Timestep is 1.15623161764706
2006: Timestep is 1.15623161764706
2007: Timestep is 1.15623161764706
2019: Timestep is 1.15623161764706
910: Timestep is 1.15623161764706
1741: Timestep is 1.15623161764706
1362: Timestep is 1.15623161764706
61: Timestep is 1.15623161764706
557: Timestep is 1.15623161764706
923: Timestep is 1.15623161764706
1173: Timestep is 1.15623161764706
1761: Timestep is 1.15623161764706
62: Timestep is 1.15623161764706
559: Timestep is 1.15623161764706
948: Timestep is 1.15623161764706
1765: Timestep is 1.15623161764706
63: Timestep is 1.15623161764706
562: Timestep is 1.15623161764706
949: Timestep is 1.15623161764706
1364: Timestep is 1.15623161764706
564: Timestep is 1.15623161764706
565: Timestep is 1.15623161764706
1174: Timestep is 1.15623161764706
566: Timestep is 1.15623161764706
64: Timestep is 1.15623161764706
567: Timestep is 1.15623161764706
950: Timestep is 1.15623161764706
1768: Timestep is 1.15623161764706
1365: Timestep is 1.15623161764706
648: Timestep is 1.15623161764706
649: Timestep is 1.15623161764706
1175: Timestep is 1.15623161764706
65: Timestep is 1.15623161764706
650: Timestep is 1.15623161764706
951: Timestep is 1.15623161764706
1769: Timestep is 1.15623161764706
651: Timestep is 1.15623161764706
1176: Timestep is 1.15623161764706
2020: Timestep is 1.15623161764706
1366: Timestep is 1.15623161764706
404: Timestep is 1.15623161764706
66: Timestep is 1.15623161764706
652: Timestep is 1.15623161764706
1177: Timestep is 1.15623161764706
2021: Timestep is 1.15623161764706
1770: Timestep is 1.15623161764706
1368: Timestep is 1.15623161764706
405: Timestep is 1.15623161764706
786: Timestep is 1.15623161764706
1178: Timestep is 1.15623161764706
2022: Timestep is 1.15623161764706
1774: Timestep is 1.15623161764706
406: Timestep is 1.15623161764706
787: Timestep is 1.15623161764706
1179: Timestep is 1.15623161764706
2023: Timestep is 1.15623161764706
1369: Timestep is 1.15623161764706
407: Timestep is 1.15623161764706
788: Timestep is 1.15623161764706
2024: Timestep is 1.15623161764706
1370: Timestep is 1.15623161764706
440: Timestep is 1.15623161764706
789: Timestep is 1.15623161764706
2033: Timestep is 1.15623161764706
470: Timestep is 1.15623161764706
793: Timestep is 1.15623161764706
1037: Timestep is 1.15623161764706
1779: Timestep is 1.15623161764706
1372: Timestep is 1.15623161764706
67: Timestep is 1.15623161764706
795: Timestep is 1.15623161764706
1038: Timestep is 1.15623161764706
1188: Timestep is 1.15623161764706
2035: Timestep is 1.15623161764706
1793: Timestep is 1.15623161764706
471: Timestep is 1.15623161764706
72: Timestep is 1.15623161764706
796: Timestep is 1.15623161764706
1039: Timestep is 1.15623161764706
2037: Timestep is 1.15623161764706
1799: Timestep is 1.15623161764706
1373: Timestep is 1.15623161764706
73: Timestep is 1.15623161764706
797: Timestep is 1.15623161764706
1058: Timestep is 1.15623161764706
74: Timestep is 1.15623161764706
1059: Timestep is 1.15623161764706
1191: Timestep is 1.15623161764706
798: Timestep is 1.15623161764706
1072: Timestep is 1.15623161764706
1800: Timestep is 1.15623161764706
1374: Timestep is 1.15623161764706
75: Timestep is 1.15623161764706
1073: Timestep is 1.15623161764706
1203: Timestep is 1.15623161764706
2146: Timestep is 1.15623161764706
1808: Timestep is 1.15623161764706
1375: Timestep is 1.15623161764706
272: Timestep is 1.15623161764706
79: Timestep is 1.15623161764706
799: Timestep is 1.15623161764706
1077: Timestep is 1.15623161764706
1204: Timestep is 1.15623161764706
811: Timestep is 1.15623161764706
1205: Timestep is 1.15623161764706
2162: Timestep is 1.15623161764706
1811: Timestep is 1.15623161764706
1377: Timestep is 1.15623161764706
273: Timestep is 1.15623161764706
546: Timestep is 1.15623161764706
1206: Timestep is 1.15623161764706
2163: Timestep is 1.15623161764706
1814: Timestep is 1.15623161764706
1378: Timestep is 1.15623161764706
274: Timestep is 1.15623161764706
1207: Timestep is 1.15623161764706
2167: Timestep is 1.15623161764706
1380: Timestep is 1.15623161764706
275: Timestep is 1.15623161764706
1904: Timestep is 1.15623161764706
276: Timestep is 1.15623161764706
277: Timestep is 1.15623161764706
1078: Timestep is 1.15623161764706
1905: Timestep is 1.15623161764706
1816: Timestep is 1.15623161764706
1381: Timestep is 1.15623161764706
88: Timestep is 1.15623161764706
547: Timestep is 1.15623161764706
816: Timestep is 1.15623161764706
1261: Timestep is 1.15623161764706
1908: Timestep is 1.15623161764706
1817: Timestep is 1.15623161764706
278: Timestep is 1.15623161764706
89: Timestep is 1.15623161764706
818: Timestep is 1.15623161764706
1818: Timestep is 1.15623161764706
1382: Timestep is 1.15623161764706
279: Timestep is 1.15623161764706
90: Timestep is 1.15623161764706
548: Timestep is 1.15623161764706
821: Timestep is 1.15623161764706
1262: Timestep is 1.15623161764706
91: Timestep is 1.15623161764706
549: Timestep is 1.15623161764706
822: Timestep is 1.15623161764706
1819: Timestep is 1.15623161764706
165: Timestep is 1.15623161764706
1383: Timestep is 1.15623161764706
167: Timestep is 1.15623161764706
550: Timestep is 1.15623161764706
824: Timestep is 1.15623161764706
1276: Timestep is 1.15623161764706
1909: Timestep is 1.15623161764706
1821: Timestep is 1.15623161764706
1385: Timestep is 1.15623161764706
825: Timestep is 1.15623161764706
1277: Timestep is 1.15623161764706
1910: Timestep is 1.15623161764706
1822: Timestep is 1.15623161764706
1386: Timestep is 1.15623161764706
280: Timestep is 1.15623161764706
551: Timestep is 1.15623161764706
1278: Timestep is 1.15623161764706
1911: Timestep is 1.15623161764706
1828: Timestep is 1.15623161764706
1388: Timestep is 1.15623161764706
281: Timestep is 1.15623161764706
552: Timestep is 1.15623161764706
1279: Timestep is 1.15623161764706
1392: Timestep is 1.15623161764706
553: Timestep is 1.15623161764706
1307: Timestep is 1.15623161764706
1912: Timestep is 1.15623161764706
282: Timestep is 1.15623161764706
554: Timestep is 1.15623161764706
1913: Timestep is 1.15623161764706
283: Timestep is 1.15623161764706
1914: Timestep is 1.15623161764706
284: Timestep is 1.15623161764706
191: Timestep is 1.15623161764706
1915: Timestep is 1.15623161764706
285: Timestep is 1.15623161764706
286: Timestep is 1.15623161764706
208: Timestep is 1.15623161764706
1312: Timestep is 1.15623161764706
1393: Timestep is 1.15623161764706
826: Timestep is 1.15623161764706
1829: Timestep is 1.15623161764706
287: Timestep is 1.15623161764706
209: Timestep is 1.15623161764706
555: Timestep is 1.15623161764706
1314: Timestep is 1.15623161764706
1394: Timestep is 1.15623161764706
1916: Timestep is 1.15623161764706
1833: Timestep is 1.15623161764706
1395: Timestep is 1.15623161764706
289: Timestep is 1.15623161764706
1315: Timestep is 1.15623161764706
210: Timestep is 1.15623161764706
558: Timestep is 1.15623161764706
827: Timestep is 1.15623161764706
1316: Timestep is 1.15623161764706
1917: Timestep is 1.15623161764706
1834: Timestep is 1.15623161764706
1396: Timestep is 1.15623161764706
292: Timestep is 1.15623161764706
211: Timestep is 1.15623161764706
828: Timestep is 1.15623161764706
1317: Timestep is 1.15623161764706
1918: Timestep is 1.15623161764706
1837: Timestep is 1.15623161764706
217: Timestep is 1.15623161764706
560: Timestep is 1.15623161764706
