0: output to qwalk.linear.o
Could not open qwalk.linear.config. Generating configurations from scratch
320: Timestep is 1.78867
901: Timestep is 1.78867
386: Timestep is 1.78867
711: Timestep is 1.78867
836: Timestep is 1.78867
193: Timestep is 1.78867
323: Timestep is 1.78867
768: Timestep is 1.78867
260: Timestep is 1.78867
522: Timestep is 1.78867
960: Timestep is 1.78867
642: Timestep is 1.78867
128: Timestep is 1.78867
450: Timestep is 1.78867
576: Timestep is 1.78867
0: Timestep is 1.78867
66: Timestep is 1.78867
902: Timestep is 1.78867
404: Timestep is 1.78867
712: Timestep is 1.78867
838: Timestep is 1.78867
195: Timestep is 1.78867
325: Timestep is 1.78867
769: Timestep is 1.78867
262: Timestep is 1.78867
523: Timestep is 1.78867
961: Timestep is 1.78867
644: Timestep is 1.78867
132: Timestep is 1.78867
457: Timestep is 1.78867
577: Timestep is 1.78867
3: Timestep is 1.78867
906: Timestep is 1.78867
435: Timestep is 1.78867
713: Timestep is 1.78867
844: Timestep is 1.78867
197: Timestep is 1.78867
330: Timestep is 1.78867
771: Timestep is 1.78867
268: Timestep is 1.78867
532: Timestep is 1.78867
964: Timestep is 1.78867
646: Timestep is 1.78867
135: Timestep is 1.78867
460: Timestep is 1.78867
579: Timestep is 1.78867
12: Timestep is 1.78867
67: Timestep is 1.78867
913: Timestep is 1.78867
384: Timestep is 1.78867
714: Timestep is 1.78867
845: Timestep is 1.78867
198: Timestep is 1.78867
331: Timestep is 1.78867
774: Timestep is 1.78867
270: Timestep is 1.78867
535: Timestep is 1.78867
967: Timestep is 1.78867
648: Timestep is 1.78867
143: Timestep is 1.78867
464: Timestep is 1.78867
580: Timestep is 1.78867
15: Timestep is 1.78867
71: Timestep is 1.78867
917: Timestep is 1.78867
385: Timestep is 1.78867
720: Timestep is 1.78867
850: Timestep is 1.78867
199: Timestep is 1.78867
335: Timestep is 1.78867
776: Timestep is 1.78867
271: Timestep is 1.78867
539: Timestep is 1.78867
968: Timestep is 1.78867
652: Timestep is 1.78867
144: Timestep is 1.78867
465: Timestep is 1.78867
584: Timestep is 1.78867
28: Timestep is 1.78867
74: Timestep is 1.78867
919: Timestep is 1.78867
387: Timestep is 1.78867
721: Timestep is 1.78867
852: Timestep is 1.78867
207: Timestep is 1.78867
336: Timestep is 1.78867
791: Timestep is 1.78867
272: Timestep is 1.78867
541: Timestep is 1.78867
972: Timestep is 1.78867
653: Timestep is 1.78867
152: Timestep is 1.78867
468: Timestep is 1.78867
586: Timestep is 1.78867
33: Timestep is 1.78867
75: Timestep is 1.78867
920: Timestep is 1.78867
388: Timestep is 1.78867
723: Timestep is 1.78867
856: Timestep is 1.78867
210: Timestep is 1.78867
338: Timestep is 1.78867
792: Timestep is 1.78867
273: Timestep is 1.78867
542: Timestep is 1.78867
975: Timestep is 1.78867
655: Timestep is 1.78867
154: Timestep is 1.78867
469: Timestep is 1.78867
594: Timestep is 1.78867
38: Timestep is 1.78867
83: Timestep is 1.78867
923: Timestep is 1.78867
389: Timestep is 1.78867
724: Timestep is 1.78867
860: Timestep is 1.78867
211: Timestep is 1.78867
341: Timestep is 1.78867
794: Timestep is 1.78867
274: Timestep is 1.78867
549: Timestep is 1.78867
977: Timestep is 1.78867
656: Timestep is 1.78867
155: Timestep is 1.78867
470: Timestep is 1.78867
595: Timestep is 1.78867
41: Timestep is 1.78867
84: Timestep is 1.78867
927: Timestep is 1.78867
390: Timestep is 1.78867
725: Timestep is 1.78867
884: Timestep is 1.78867
212: Timestep is 1.78867
343: Timestep is 1.78867
799: Timestep is 1.78867
282: Timestep is 1.78867
552: Timestep is 1.78867
979: Timestep is 1.78867
657: Timestep is 1.78867
157: Timestep is 1.78867
474: Timestep is 1.78867
596: Timestep is 1.78867
44: Timestep is 1.78867
85: Timestep is 1.78867
929: Timestep is 1.78867
391: Timestep is 1.78867
727: Timestep is 1.78867
886: Timestep is 1.78867
213: Timestep is 1.78867
345: Timestep is 1.78867
820: Timestep is 1.78867
283: Timestep is 1.78867
556: Timestep is 1.78867
980: Timestep is 1.78867
658: Timestep is 1.78867
160: Timestep is 1.78867
475: Timestep is 1.78867
597: Timestep is 1.78867
46: Timestep is 1.78867
87: Timestep is 1.78867
933: Timestep is 1.78867
392: Timestep is 1.78867
728: Timestep is 1.78867
887: Timestep is 1.78867
216: Timestep is 1.78867
349: Timestep is 1.78867
822: Timestep is 1.78867
287: Timestep is 1.78867
558: Timestep is 1.78867
985: Timestep is 1.78867
659: Timestep is 1.78867
163: Timestep is 1.78867
476: Timestep is 1.78867
598: Timestep is 1.78867
56: Timestep is 1.78867
88: Timestep is 1.78867
938: Timestep is 1.78867
393: Timestep is 1.78867
731: Timestep is 1.78867
891: Timestep is 1.78867
218: Timestep is 1.78867
352: Timestep is 1.78867
828: Timestep is 1.78867
288: Timestep is 1.78867
560: Timestep is 1.78867
993: Timestep is 1.78867
664: Timestep is 1.78867
168: Timestep is 1.78867
477: Timestep is 1.78867
600: Timestep is 1.78867
60: Timestep is 1.78867
89: Timestep is 1.78867
939: Timestep is 1.78867
394: Timestep is 1.78867
732: Timestep is 1.78867
892: Timestep is 1.78867
222: Timestep is 1.78867
355: Timestep is 1.78867
829: Timestep is 1.78867
293: Timestep is 1.78867
561: Timestep is 1.78867
994: Timestep is 1.78867
666: Timestep is 1.78867
173: Timestep is 1.78867
480: Timestep is 1.78867
603: Timestep is 1.78867
61: Timestep is 1.78867
