0: output to qw.dmc.o
1634: Timestep is 1.15784007352941
1143: Timestep is 1.15784007352941
548: Timestep is 1.15784007352941
2007: Timestep is 1.15784007352941
359: Timestep is 1.15784007352941
831: Timestep is 1.15784007352941
0: Timestep is 1.15784007352941
1491: Timestep is 1.15784007352941
2038: Timestep is 1.15784007352941
674: Timestep is 1.15784007352941
1644: Timestep is 1.15784007352941
113: Timestep is 1.15784007352941
272: Timestep is 1.15784007352941
544: Timestep is 1.15784007352941
1904: Timestep is 1.15784007352941
1651: Timestep is 1.15784007352941
1: Timestep is 1.15784007352941
273: Timestep is 1.15784007352941
547: Timestep is 1.15784007352941
1905: Timestep is 1.15784007352941
1652: Timestep is 1.15784007352941
5: Timestep is 1.15784007352941
278: Timestep is 1.15784007352941
555: Timestep is 1.15784007352941
1907: Timestep is 1.15784007352941
1655: Timestep is 1.15784007352941
289: Timestep is 1.15784007352941
557: Timestep is 1.15784007352941
1908: Timestep is 1.15784007352941
874: Timestep is 1.15784007352941
1202: Timestep is 1.15784007352941
1551: Timestep is 1.15784007352941
1051: Timestep is 1.15784007352941
1337: Timestep is 1.15784007352941
1368: Timestep is 1.15784007352941
1085: Timestep is 1.15784007352941
1348: Timestep is 1.15784007352941
1369: Timestep is 1.15784007352941
816: Timestep is 1.15784007352941
1088: Timestep is 1.15784007352941
1371: Timestep is 1.15784007352941
818: Timestep is 1.15784007352941
1093: Timestep is 1.15784007352941
1373: Timestep is 1.15784007352941
821: Timestep is 1.15784007352941
822: Timestep is 1.15784007352941
829: Timestep is 1.15784007352941
834: Timestep is 1.15784007352941
840: Timestep is 1.15784007352941
1659: Timestep is 1.15784007352941
558: Timestep is 1.15784007352941
15: Timestep is 1.15784007352941
1916: Timestep is 1.15784007352941
299: Timestep is 1.15784007352941
1097: Timestep is 1.15784007352941
1376: Timestep is 1.15784007352941
1662: Timestep is 1.15784007352941
561: Timestep is 1.15784007352941
16: Timestep is 1.15784007352941
1922: Timestep is 1.15784007352941
302: Timestep is 1.15784007352941
1098: Timestep is 1.15784007352941
1379: Timestep is 1.15784007352941
1664: Timestep is 1.15784007352941
565: Timestep is 1.15784007352941
17: Timestep is 1.15784007352941
1924: Timestep is 1.15784007352941
303: Timestep is 1.15784007352941
1099: Timestep is 1.15784007352941
1381: Timestep is 1.15784007352941
20: Timestep is 1.15784007352941
1930: Timestep is 1.15784007352941
304: Timestep is 1.15784007352941
1667: Timestep is 1.15784007352941
568: Timestep is 1.15784007352941
24: Timestep is 1.15784007352941
1101: Timestep is 1.15784007352941
1392: Timestep is 1.15784007352941
35: Timestep is 1.15784007352941
1932: Timestep is 1.15784007352941
312: Timestep is 1.15784007352941
1676: Timestep is 1.15784007352941
569: Timestep is 1.15784007352941
1104: Timestep is 1.15784007352941
1395: Timestep is 1.15784007352941
36: Timestep is 1.15784007352941
1934: Timestep is 1.15784007352941
313: Timestep is 1.15784007352941
1679: Timestep is 1.15784007352941
571: Timestep is 1.15784007352941
1105: Timestep is 1.15784007352941
1399: Timestep is 1.15784007352941
316: Timestep is 1.15784007352941
1935: Timestep is 1.15784007352941
1400: Timestep is 1.15784007352941
1682: Timestep is 1.15784007352941
847: Timestep is 1.15784007352941
1697: Timestep is 1.15784007352941
849: Timestep is 1.15784007352941
1702: Timestep is 1.15784007352941
1705: Timestep is 1.15784007352941
575: Timestep is 1.15784007352941
39: Timestep is 1.15784007352941
1938: Timestep is 1.15784007352941
318: Timestep is 1.15784007352941
850: Timestep is 1.15784007352941
1106: Timestep is 1.15784007352941
1403: Timestep is 1.15784007352941
1709: Timestep is 1.15784007352941
578: Timestep is 1.15784007352941
40: Timestep is 1.15784007352941
1939: Timestep is 1.15784007352941
319: Timestep is 1.15784007352941
852: Timestep is 1.15784007352941
1107: Timestep is 1.15784007352941
1404: Timestep is 1.15784007352941
1714: Timestep is 1.15784007352941
583: Timestep is 1.15784007352941
45: Timestep is 1.15784007352941
1941: Timestep is 1.15784007352941
320: Timestep is 1.15784007352941
855: Timestep is 1.15784007352941
1109: Timestep is 1.15784007352941
1405: Timestep is 1.15784007352941
1716: Timestep is 1.15784007352941
586: Timestep is 1.15784007352941
46: Timestep is 1.15784007352941
1944: Timestep is 1.15784007352941
321: Timestep is 1.15784007352941
856: Timestep is 1.15784007352941
1110: Timestep is 1.15784007352941
1406: Timestep is 1.15784007352941
1724: Timestep is 1.15784007352941
605: Timestep is 1.15784007352941
48: Timestep is 1.15784007352941
1948: Timestep is 1.15784007352941
324: Timestep is 1.15784007352941
