0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
1904: Timestep is 1.74666
1362: Timestep is 1.74666
277: Timestep is 1.74666
1632: Timestep is 1.74666
868: Timestep is 1.74666
0: Timestep is 1.74666
548: Timestep is 1.74666
1109: Timestep is 1.74666
1127: Timestep is 1.74666
889: Timestep is 1.74666
1194: Timestep is 1.74666
816: Timestep is 1.74666
1241: Timestep is 1.74666
822: Timestep is 1.74666
51: Timestep is 1.74666
1314: Timestep is 1.74666
1: Timestep is 1.74666
1479: Timestep is 1.74666
1365: Timestep is 1.74666
1369: Timestep is 1.74666
4: Timestep is 1.74666
1373: Timestep is 1.74666
1334: Timestep is 1.74666
824: Timestep is 1.74666
8: Timestep is 1.74666
1376: Timestep is 1.74666
1089: Timestep is 1.74666
1634: Timestep is 1.74666
1956: Timestep is 1.74666
314: Timestep is 1.74666
1639: Timestep is 1.74666
1998: Timestep is 1.74666
398: Timestep is 1.74666
16: Timestep is 1.74666
827: Timestep is 1.74666
1646: Timestep is 1.74666
2111: Timestep is 1.74666
272: Timestep is 1.74666
1653: Timestep is 1.74666
2154: Timestep is 1.74666
274: Timestep is 1.74666
1654: Timestep is 1.74666
1942: Timestep is 1.74666
275: Timestep is 1.74666
1091: Timestep is 1.74666
284: Timestep is 1.74666
1656: Timestep is 1.74666
18: Timestep is 1.74666
828: Timestep is 1.74666
1377: Timestep is 1.74666
594: Timestep is 1.74666
1950: Timestep is 1.74666
675: Timestep is 1.74666
285: Timestep is 1.74666
23: Timestep is 1.74666
831: Timestep is 1.74666
1099: Timestep is 1.74666
1659: Timestep is 1.74666
781: Timestep is 1.74666
1964: Timestep is 1.74666
25: Timestep is 1.74666
1390: Timestep is 1.74666
837: Timestep is 1.74666
1101: Timestep is 1.74666
1661: Timestep is 1.74666
815: Timestep is 1.74666
1982: Timestep is 1.74666
286: Timestep is 1.74666
1401: Timestep is 1.74666
549: Timestep is 1.74666
1404: Timestep is 1.74666
838: Timestep is 1.74666
1106: Timestep is 1.74666
551: Timestep is 1.74666
1992: Timestep is 1.74666
31: Timestep is 1.74666
553: Timestep is 1.74666
558: Timestep is 1.74666
288: Timestep is 1.74666
1108: Timestep is 1.74666
559: Timestep is 1.74666
36: Timestep is 1.74666
1413: Timestep is 1.74666
1113: Timestep is 1.74666
1996: Timestep is 1.74666
295: Timestep is 1.74666
39: Timestep is 1.74666
1414: Timestep is 1.74666
