0: output to qw.dmc.o
1637: Timestep is 1.15600183823529
1360: Timestep is 1.15600183823529
0: Timestep is 1.15600183823529
1212: Timestep is 1.15600183823529
1904: Timestep is 1.15600183823529
303: Timestep is 1.15600183823529
950: Timestep is 1.15600183823529
613: Timestep is 1.15600183823529
1601: Timestep is 1.15600183823529
1091: Timestep is 1.15600183823529
817: Timestep is 1.15600183823529
1692: Timestep is 1.15600183823529
1911: Timestep is 1.15600183823529
3: Timestep is 1.15600183823529
1098: Timestep is 1.15600183823529
1940: Timestep is 1.15600183823529
1372: Timestep is 1.15600183823529
822: Timestep is 1.15600183823529
1634: Timestep is 1.15600183823529
6: Timestep is 1.15600183823529
827: Timestep is 1.15600183823529
1102: Timestep is 1.15600183823529
1641: Timestep is 1.15600183823529
1963: Timestep is 1.15600183823529
7: Timestep is 1.15600183823529
1380: Timestep is 1.15600183823529
829: Timestep is 1.15600183823529
1108: Timestep is 1.15600183823529
1642: Timestep is 1.15600183823529
1912: Timestep is 1.15600183823529
8: Timestep is 1.15600183823529
1381: Timestep is 1.15600183823529
1113: Timestep is 1.15600183823529
1646: Timestep is 1.15600183823529
1384: Timestep is 1.15600183823529
639: Timestep is 1.15600183823529
495: Timestep is 1.15600183823529
1386: Timestep is 1.15600183823529
688: Timestep is 1.15600183823529
523: Timestep is 1.15600183823529
1387: Timestep is 1.15600183823529
730: Timestep is 1.15600183823529
273: Timestep is 1.15600183823529
1389: Timestep is 1.15600183823529
732: Timestep is 1.15600183823529
277: Timestep is 1.15600183823529
1391: Timestep is 1.15600183823529
750: Timestep is 1.15600183823529
280: Timestep is 1.15600183823529
286: Timestep is 1.15600183823529
290: Timestep is 1.15600183823529
292: Timestep is 1.15600183823529
1392: Timestep is 1.15600183823529
293: Timestep is 1.15600183823529
834: Timestep is 1.15600183823529
1115: Timestep is 1.15600183823529
1660: Timestep is 1.15600183823529
1913: Timestep is 1.15600183823529
15: Timestep is 1.15600183823529
753: Timestep is 1.15600183823529
296: Timestep is 1.15600183823529
835: Timestep is 1.15600183823529
1120: Timestep is 1.15600183823529
1671: Timestep is 1.15600183823529
1918: Timestep is 1.15600183823529
16: Timestep is 1.15600183823529
759: Timestep is 1.15600183823529
299: Timestep is 1.15600183823529
841: Timestep is 1.15600183823529
1122: Timestep is 1.15600183823529
1677: Timestep is 1.15600183823529
1920: Timestep is 1.15600183823529
20: Timestep is 1.15600183823529
803: Timestep is 1.15600183823529
308: Timestep is 1.15600183823529
843: Timestep is 1.15600183823529
1123: Timestep is 1.15600183823529
1680: Timestep is 1.15600183823529
1924: Timestep is 1.15600183823529
22: Timestep is 1.15600183823529
544: Timestep is 1.15600183823529
845: Timestep is 1.15600183823529
1125: Timestep is 1.15600183823529
1683: Timestep is 1.15600183823529
1927: Timestep is 1.15600183823529
38: Timestep is 1.15600183823529
846: Timestep is 1.15600183823529
1929: Timestep is 1.15600183823529
545: Timestep is 1.15600183823529
44: Timestep is 1.15600183823529
1127: Timestep is 1.15600183823529
1930: Timestep is 1.15600183823529
849: Timestep is 1.15600183823529
1685: Timestep is 1.15600183823529
1686: Timestep is 1.15600183823529
55: Timestep is 1.15600183823529
1393: Timestep is 1.15600183823529
547: Timestep is 1.15600183823529
1399: Timestep is 1.15600183823529
549: Timestep is 1.15600183823529
309: Timestep is 1.15600183823529
1404: Timestep is 1.15600183823529
1406: Timestep is 1.15600183823529
1409: Timestep is 1.15600183823529
1411: Timestep is 1.15600183823529
318: Timestep is 1.15600183823529
1419: Timestep is 1.15600183823529
320: Timestep is 1.15600183823529
1128: Timestep is 1.15600183823529
1934: Timestep is 1.15600183823529
329: Timestep is 1.15600183823529
850: Timestep is 1.15600183823529
1687: Timestep is 1.15600183823529
855: Timestep is 1.15600183823529
1134: Timestep is 1.15600183823529
1691: Timestep is 1.15600183823529
1936: Timestep is 1.15600183823529
57: Timestep is 1.15600183823529
550: Timestep is 1.15600183823529
330: Timestep is 1.15600183823529
856: Timestep is 1.15600183823529
1135: Timestep is 1.15600183823529
1696: Timestep is 1.15600183823529
1941: Timestep is 1.15600183823529
61: Timestep is 1.15600183823529
556: Timestep is 1.15600183823529
331: Timestep is 1.15600183823529
858: Timestep is 1.15600183823529
1142: Timestep is 1.15600183823529
1697: Timestep is 1.15600183823529
1949: Timestep is 1.15600183823529
66: Timestep is 1.15600183823529
557: Timestep is 1.15600183823529
335: Timestep is 1.15600183823529
863: Timestep is 1.15600183823529
1143: Timestep is 1.15600183823529
1703: Timestep is 1.15600183823529
1951: Timestep is 1.15600183823529
73: Timestep is 1.15600183823529
558: Timestep is 1.15600183823529
865: Timestep is 1.15600183823529
1145: Timestep is 1.15600183823529
