#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2653448947e+00    3.9301148634e+01   -1.0220366923e+01    3.9550220278e+00    8.4260401525e+00    7.0352107511e+00   -2.6408217599e+01    7.2659977277e-01    2.6208000000e+04    4.9461021257e-02    5.4225808913e-01
         1   -6.2636196294e+00    3.9282620143e+01   -1.0225677948e+01    3.9620583186e+00    8.4625511891e+00    7.0352107511e+00   -2.6496304408e+01    7.7286452008e-01    2.6208000000e+04    4.9717123839e-02    5.4181809944e-01
         2   -6.2650174480e+00    3.9299689029e+01   -1.0221043442e+01    3.9560259941e+00    8.4489882008e+00    7.0352107511e+00   -2.6462412433e+01    7.5717003885e-01    2.6208000000e+04    4.9646918351e-02    5.4255022321e-01
         3   -6.2626732360e+00    3.9270806164e+01   -1.0178713365e+01    3.9160401291e+00    8.4298003605e+00    7.0352107511e+00   -2.6417635222e+01    7.7391074552e-01    2.6208000000e+04    4.9406728199e-02    5.4221874046e-01
         4   -6.2631492468e+00    3.9276766637e+01   -1.0225130968e+01    3.9619817217e+00    8.4366631490e+00    7.0352107511e+00   -2.6460196932e+01    7.6319206294e-01    2.6208000000e+04    4.9452190451e-02    5.4192302923e-01
         5   -6.2623445736e+00    3.9266910029e+01   -1.0200688227e+01    3.9383436534e+00    8.4378005813e+00    7.0352107511e+00   -2.6437060067e+01    7.6336050736e-01    2.6208000000e+04    4.9507516838e-02    5.4187056433e-01
         6   -6.2668609638e+00    3.9324243427e+01   -1.0229615102e+01    3.9627541387e+00    8.4316880318e+00    7.0352107511e+00   -2.6450875903e+01    7.5436201773e-01    2.6208000000e+04    4.9466935143e-02    5.4162731799e-01
         7   -6.2639274078e+00    3.9286865710e+01   -1.0234496294e+01    3.9705688859e+00    8.4557096013e+00    7.0352107511e+00   -2.6489146716e+01    7.6373006976e-01    2.6208000000e+04    4.9619470164e-02    5.4372114431e-01
         8   -6.2633138334e+00    3.9280563780e+01   -1.0177735081e+01    3.9144212480e+00    8.4273139525e+00    7.0352107511e+00   -2.6418790792e+01    7.7853100682e-01    2.6208000000e+04    4.9440575281e-02    5.4164162660e-01
         9   -6.2641645873e+00    3.9288874925e+01   -1.0188810742e+01    3.9246461547e+00    8.4356832949e+00    7.0352107511e+00   -2.6403187673e+01    7.4348288459e-01    2.6208000000e+04    4.9466180482e-02    5.4236659608e-01
        10   -6.2641045256e+00    3.9288747419e+01   -1.0257695090e+01    3.9935905642e+00    8.4483156285e+00    7.0352107511e+00   -2.6534519105e+01    7.9329763515e-01    2.6208000000e+04    4.9486590710e-02    5.4239640568e-01
        11   -6.2624606474e+00    3.9267398605e+01   -1.0244317515e+01    3.9818568674e+00    8.4544440055e+00    7.0352107511e+00   -2.6493579737e+01    7.5960746576e-01    2.6208000000e+04    4.9574801258e-02    5.4247271825e-01
        12   -6.2662901498e+00    3.9316802385e+01   -1.0233066628e+01    3.9667764780e+00    8.4330717784e+00    7.0352107511e+00   -2.6460655801e+01    7.5930664347e-01    2.6208000000e+04    4.9449264873e-02    5.4182406136e-01
        13   -6.2655164135e+00    3.9306067704e+01   -1.0217390590e+01    3.9518741768e+00    8.4475344302e+00    7.0352107511e+00   -2.6457251227e+01    7.5711545531e-01    2.6208000000e+04    4.9615627699e-02    5.4278393048e-01
        14   -6.2642293344e+00    3.9289079892e+01   -1.0221481916e+01    3.9572525815e+00    8.4305980748e+00    7.0352107511e+00   -2.6448092804e+01    7.6080206168e-01    2.6208000000e+04    4.9470181060e-02    5.4226166629e-01
        15   -6.2627731026e+00    3.9273747425e+01   -1.0237145277e+01    3.9743721744e+00    8.4496160119e+00    7.0352107511e+00   -2.6502038263e+01    7.8006622343e-01    2.6208000000e+04    4.9551439167e-02    5.4223543384e-01
        16   -6.2626845295e+00    3.9271750815e+01   -1.0269884981e+01    4.0072004510e+00    8.4563264570e+00    7.0352107511e+00   -2.6550620644e+01    7.8919845547e-01    2.6208000000e+04    4.9641197855e-02    5.4127675710e-01
        17   -6.2671406278e+00    3.9325645534e+01   -1.0216887551e+01    3.9497469234e+00    8.4334393666e+00    7.0352107511e+00   -2.6426297006e+01    7.4075933673e-01    2.6208000000e+04    4.9448747651e-02    5.4256572421e-01
        18   -6.2604985592e+00    3.9243733968e+01   -1.0201221156e+01    3.9407225969e+00    8.4368111624e+00    7.0352107511e+00   -2.6430909702e+01    7.5766663195e-01    2.6208000000e+04    4.9520119120e-02    5.4292701656e-01
        19   -6.2627069041e+00    3.9272781728e+01   -1.0220150992e+01    3.9574440879e+00    8.4285784845e+00    7.0352107511e+00   -2.6455719073e+01    7.7177884534e-01    2.6208000000e+04    4.9489607989e-02    5.4249060401e-01
