#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.9090430627e+00    3.4967360536e+01   -9.6599392446e+00    3.7508961820e+00    7.7098939857e+00    7.0352107511e+00   -2.5177032954e+01    7.7198897227e-01    2.6880000000e+04    1.2414756039e-01    5.7232491629e-01
         1   -5.9076833416e+00    3.4952208780e+01   -9.6254206239e+00    3.7177372823e+00    7.6885618930e+00    7.0352107511e+00   -2.5117004403e+01    7.6781113527e-01    2.6880000000e+04    1.2405707476e-01    5.7352934338e-01
         2   -5.9046462395e+00    3.4915736172e+01   -9.6621430248e+00    3.7574967852e+00    7.7171917968e+00    7.0352107511e+00   -2.5164752850e+01    7.5020727746e-01    2.6880000000e+04    1.2426447365e-01    5.7252836682e-01
         3   -5.9078600443e+00    3.4953857933e+01   -9.6604074257e+00    3.7525473814e+00    7.6924362103e+00    7.0352107511e+00   -2.5164299561e+01    7.7624517333e-01    2.6880000000e+04    1.2402020920e-01    5.7192150298e-01
         4   -5.9063025021e+00    3.4936506874e+01   -9.6343546179e+00    3.7280521157e+00    7.7106625977e+00    7.0352107511e+00   -2.5140893555e+01    7.6066558842e-01    2.6880000000e+04    1.2421355513e-01    5.7223656064e-01
         5   -5.9065829744e+00    3.4938584306e+01   -9.6653425312e+00    3.7587595568e+00    7.6920356461e+00    7.0352107511e+00   -2.5172232398e+01    7.7964346952e-01    2.6880000000e+04    1.2410878881e-01    5.7242954799e-01
         6   -5.9077565857e+00    3.4952652255e+01   -9.6219547902e+00    3.7141982045e+00    7.6914468423e+00    7.0352107511e+00   -2.5129071545e+01    7.8045916127e-01    2.6880000000e+04    1.2384733248e-01    5.7288876488e-01
         7   -5.9082284600e+00    3.4958927385e+01   -9.6627986416e+00    3.7545701816e+00    7.6916113541e+00    7.0352107511e+00   -2.5153590192e+01    7.6396944489e-01    2.6880000000e+04    1.2386634400e-01    5.7310035342e-01
         8   -5.9091402415e+00    3.4969067494e+01   -9.6308736994e+00    3.7217334580e+00    7.6932069049e+00    7.0352107511e+00   -2.5125456702e+01    7.6616534626e-01    2.6880000000e+04    1.2411533874e-01    5.7167503720e-01
         9   -5.9047124929e+00    3.4916611078e+01   -9.6227863438e+00    3.7180738509e+00    7.7012487798e+00    7.0352107511e+00   -2.5128645642e+01    7.6939976717e-01    2.6880000000e+04    1.2411089196e-01    5.7280505952e-01
        10   -5.9080118065e+00    3.4956272109e+01   -9.6423095378e+00    3.7342977313e+00    7.7034613497e+00    7.0352107511e+00   -2.5145461105e+01    7.6447946642e-01    2.6880000000e+04    1.2406144900e-01    5.7394205729e-01
        11   -5.9073678064e+00    3.4949275513e+01   -9.6648143086e+00    3.7574465022e+00    7.6983518273e+00    7.0352107511e+00   -2.5172029460e+01    7.7365257298e-01    2.6880000000e+04    1.2409836553e-01    5.7328171503e-01
        12   -5.9074801361e+00    3.4951198887e+01   -9.6406775669e+00    3.7331974308e+00    7.6870358502e+00    7.0352107511e+00   -2.5149993650e+01    7.8706948174e-01    2.6880000000e+04    1.2397268876e-01    5.7318405878e-01
        13   -5.9075587550e+00    3.4952149890e+01   -9.6715666866e+00    3.7640079316e+00    7.7059568580e+00    7.0352107511e+00   -2.5200088755e+01    7.8735445956e-01    2.6880000000e+04    1.2413258568e-01    5.7178664435e-01
        14   -5.9085499814e+00    3.4964091213e+01   -9.6381015080e+00    3.7295515266e+00    7.6877768038e+00    7.0352107511e+00   -2.5117834757e+01    7.5674569362e-01    2.6880000000e+04    1.2392896795e-01    5.7253069196e-01
        15   -5.9032798640e+00    3.4901785755e+01   -9.6505852255e+00    3.7473053615e+00    7.7065517260e+00    7.0352107511e+00   -2.5169834830e+01    7.7748712698e-01    2.6880000000e+04    1.2404069446e-01    5.7284109933e-01
        16   -5.9056911083e+00    3.4933070877e+01   -9.6527041717e+00    3.7470130634e+00    7.6959760269e+00    7.0352107511e+00   -2.5160774874e+01    7.7688392423e-01    2.6880000000e+04    1.2390391518e-01    5.7329101562e-01
        17   -5.9056681962e+00    3.4927069359e+01   -9.6147269846e+00    3.7090587884e+00    7.7054623759e+00    7.0352107511e+00   -2.5124880212e+01    7.6948010064e-01    2.6880000000e+04    1.2405960015e-01    5.7400251116e-01
        18   -5.9069991449e+00    3.4944779214e+01   -9.6379396109e+00    3.7309404660e+00    7.6840908831e+00    7.0352107511e+00   -2.5141239835e+01    7.8399858982e-01    2.6880000000e+04    1.2398123392e-01    5.7334565662e-01
        19   -5.9068273197e+00    3.4940817487e+01   -9.6498924353e+00    3.7430651156e+00    7.7064626309e+00    7.0352107511e+00   -2.5158224481e+01    7.6665866405e-01    2.6880000000e+04    1.2402254555e-01    5.7297363281e-01
