#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2514943902e+00    3.9163366935e+01   -1.0193820454e+01    3.9423260634e+00    8.4653954663e+00    7.0352107511e+00   -2.6485329431e+01    7.9090275999e-01    2.5704000000e+04    1.3825598261e-01    5.4363255719e-01
         1   -6.2522063277e+00    3.9177642638e+01   -1.0210567704e+01    3.9583613765e+00    8.4530696522e+00    7.0352107511e+00   -2.6493780057e+01    7.9493194937e-01    2.5704000000e+04    1.3720987761e-01    5.4260402077e-01
         2   -6.2525211683e+00    3.9176073995e+01   -1.0178176706e+01    3.9256555380e+00    8.4398654532e+00    7.0352107511e+00   -2.6434815554e+01    7.8156264363e-01    2.5704000000e+04    1.3735760810e-01    5.4476443355e-01
         3   -6.2559947711e+00    3.9217656353e+01   -1.0197978841e+01    3.9419840703e+00    8.4386604165e+00    7.0352107511e+00   -2.6448330580e+01    7.7648057054e-01    2.5704000000e+04    1.3715342348e-01    5.4294200319e-01
         4   -6.2541247035e+00    3.9195995624e+01   -1.0194376509e+01    3.9402518052e+00    8.4408409162e+00    7.0352107511e+00   -2.6466170309e+01    7.9574213293e-01    2.5704000000e+04    1.3756076991e-01    5.4386841542e-01
         5   -6.2503164967e+00    3.9148344053e+01   -1.0196555665e+01    3.9462391687e+00    8.4355736838e+00    7.0352107511e+00   -2.6461908073e+01    7.9456797264e-01    2.5704000000e+04    1.3745226677e-01    5.4457234283e-01
         6   -6.2538171490e+00    3.9192889584e+01   -1.0207183914e+01    3.9533667645e+00    8.4416149438e+00    7.0352107511e+00   -2.6475208354e+01    7.9119874556e-01    2.5704000000e+04    1.3733886511e-01    5.4358149510e-01
         7   -6.2553992158e+00    3.9211256667e+01   -1.0207411334e+01    3.9520121180e+00    8.4494142712e+00    7.0352107511e+00   -2.6468589139e+01    7.7655278245e-01    2.5704000000e+04    1.3759484486e-01    5.4365444094e-01
         8   -6.2562000325e+00    3.9223698020e+01   -1.0178488398e+01    3.9222883655e+00    8.4489964923e+00    7.0352107511e+00   -2.6447778877e+01    7.8508323583e-01    2.5704000000e+04    1.3770250669e-01    5.4396324502e-01
         9   -6.2556366145e+00    3.9218534863e+01   -1.0178491820e+01    3.9228552055e+00    8.4514059035e+00    7.0352107511e+00   -2.6442986749e+01    7.7787827472e-01    2.5704000000e+04    1.3758423432e-01    5.4429758014e-01
        10   -6.2533802855e+00    3.9189081460e+01   -1.0166314684e+01    3.9129343987e+00    8.4335847388e+00    7.0352107511e+00   -2.6414548613e+01    7.7943843864e-01    2.5704000000e+04    1.3743115775e-01    5.4425381264e-01
        11   -6.2542672188e+00    3.9199462891e+01   -1.0189522467e+01    3.9352552478e+00    8.4229581481e+00    7.0352107511e+00   -2.6445723497e+01    7.9803213135e-01    2.5704000000e+04    1.3709695879e-01    5.4432797425e-01
        12   -6.2546154309e+00    3.9201974366e+01   -1.0158877549e+01    3.9042621177e+00    8.4195812305e+00    7.0352107511e+00   -2.6397882924e+01    7.8421339356e-01    2.5704000000e+04    1.3709421601e-01    5.4390124105e-01
        13   -6.2543016380e+00    3.9195431068e+01   -1.0171358285e+01    3.9170566471e+00    8.4351779829e+00    7.0352107511e+00   -2.6409598145e+01    7.6785112546e-01    2.5704000000e+04    1.3745218804e-01    5.4423679194e-01
        14   -6.2555238051e+00    3.9215195064e+01   -1.0174467680e+01    3.9189438749e+00    8.4405188624e+00    7.0352107511e+00   -2.6451723631e+01    8.0152633778e-01    2.5704000000e+04    1.3744120050e-01    5.4371158185e-01
        15   -6.2514605685e+00    3.9169129789e+01   -1.0192715274e+01    3.9412547053e+00    8.4337288928e+00    7.0352107511e+00   -2.6450275213e+01    7.8862029503e-01    2.5704000000e+04    1.3700245008e-01    5.4218336640e-01
        16   -6.2523435544e+00    3.9176520684e+01   -1.0171551838e+01    3.9192082841e+00    8.4178136352e+00    7.0352107511e+00   -2.6391107870e+01    7.6653164490e-01    2.5704000000e+04    1.3673556783e-01    5.4384166861e-01
        17   -6.2577724807e+00    3.9236948591e+01   -1.0189136553e+01    3.9313640721e+00    8.4355236942e+00    7.0352107511e+00   -2.6422191365e+01    7.6232036722e-01    2.5704000000e+04    1.3734531593e-01    5.4404956427e-01
        18   -6.2562324963e+00    3.9221545309e+01   -1.0207528524e+01    3.9512960280e+00    8.4608979738e+00    7.0352107511e+00   -2.6475452736e+01    7.7181548629e-01    2.5704000000e+04    1.3776515062e-01    5.4414074658e-01
        19   -6.2550749974e+00    3.9204833264e+01   -1.0197396926e+01    3.9423219287e+00    8.4390937912e+00    7.0352107511e+00   -2.6448262025e+01    7.7656055659e-01    2.5704000000e+04    1.3725123287e-01    5.4387692577e-01
