#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.9068066113e+00    3.4948267009e+01   -9.6899264488e+00    3.7831198375e+00    7.7498749036e+00    7.0352107511e+00   -2.5278190404e+01    8.0317830049e-01    5.0064000000e+04    2.9716690618e-01    5.7185614913e-01
         1   -5.9098656630e+00    3.4984496496e+01   -9.6671615042e+00    3.7572958412e+00    7.7478262357e+00    7.0352107511e+00   -2.5242410929e+01    7.9221243790e-01    5.0064000000e+04    2.9631744567e-01    5.7226937021e-01
         2   -5.9066706859e+00    3.4943690602e+01   -9.6701058932e+00    3.7634352073e+00    7.7399149615e+00    7.0352107511e+00   -2.5228535004e+01    7.8330339768e-01    5.0064000000e+04    2.9585125602e-01    5.7233740812e-01
         3   -5.9103705728e+00    3.4985049571e+01   -9.6965269243e+00    3.7861563515e+00    7.7450579175e+00    7.0352107511e+00   -2.5264433335e+01    7.8763774253e-01    5.0064000000e+04    2.9625059405e-01    5.7198473454e-01
         4   -5.9063559638e+00    3.4939213690e+01   -9.6734809235e+00    3.7671249597e+00    7.7342090575e+00    7.0352107511e+00   -2.5225475457e+01    7.8257472451e-01    5.0064000000e+04    2.9591525838e-01    5.7197412312e-01
         5   -5.9069609416e+00    3.4949384232e+01   -9.6616030210e+00    3.7546420793e+00    7.7365951274e+00    7.0352107511e+00   -2.5224169782e+01    7.9076088208e-01    5.0064000000e+04    2.9608785685e-01    5.7233303871e-01
         6   -5.9098919226e+00    3.4992872696e+01   -9.6955482437e+00    3.7856563210e+00    7.7256905818e+00    7.0352107511e+00   -2.5251180610e+01    7.9473103371e-01    5.0064000000e+04    2.9526107360e-01    5.7178311761e-01
         7   -5.9087685722e+00    3.4967267264e+01   -9.6755299719e+00    3.7667613997e+00    7.7407850839e+00    7.0352107511e+00   -2.5244179562e+01    7.9265375464e-01    5.0064000000e+04    2.9575692406e-01    5.7142232942e-01
         8   -5.9080656873e+00    3.4958788952e+01   -9.6555455252e+00    3.7474798380e+00    7.7234235884e+00    7.0352107511e+00   -2.5201609944e+01    7.8743007934e-01    5.0064000000e+04    2.9532390329e-01    5.7237236337e-01
         9   -5.9088026418e+00    3.4974720826e+01   -9.6845074558e+00    3.7757048140e+00    7.7380039341e+00    7.0352107511e+00   -2.5240914924e+01    7.8319278345e-01    5.0064000000e+04    2.9579617900e-01    5.7189609799e-01
        10   -5.9063657197e+00    3.4938831008e+01   -9.6773771670e+00    3.7710114473e+00    7.7488485626e+00    7.0352107511e+00   -2.5255890066e+01    7.9445358524e-01    5.0064000000e+04    2.9645855324e-01    5.7211394415e-01
        11   -5.9078939859e+00    3.4957577684e+01   -9.6988081852e+00    3.7909141993e+00    7.7435141419e+00    7.0352107511e+00   -2.5266569355e+01    7.8903627691e-01    5.0064000000e+04    2.9626947443e-01    5.7198348614e-01
        12   -5.9063129206e+00    3.4939952223e+01   -9.6559131263e+00    3.7496002058e+00    7.7343591918e+00    7.0352107511e+00   -2.5225107414e+01    7.9962434450e-01    5.0064000000e+04    2.9570502001e-01    5.7225813459e-01
        13   -5.9085923180e+00    3.4966179794e+01   -9.6744643398e+00    3.7658720218e+00    7.7487386598e+00    7.0352107511e+00   -2.5255371935e+01    7.9695818402e-01    5.0064000000e+04    2.9614972049e-01    5.7154467282e-01
        14   -5.9076275101e+00    3.4953674463e+01   -9.6776852149e+00    3.7700577048e+00    7.7554900389e+00    7.0352107511e+00   -2.5246051942e+01    7.7766593726e-01    5.0064000000e+04    2.9653407419e-01    5.7252279582e-01
        15   -5.9080051534e+00    3.4958642650e+01   -9.6797965661e+00    3.7717914127e+00    7.7441187097e+00    7.0352107511e+00   -2.5249242265e+01    7.9011623821e-01    5.0064000000e+04    2.9587218540e-01    5.7223316655e-01
        16   -5.9070462521e+00    3.4949272048e+01   -9.6830210086e+00    3.7759747565e+00    7.7460954475e+00    7.0352107511e+00   -2.5267101926e+01    8.0277471875e-01    5.0064000000e+04    2.9627026125e-01    5.7149286413e-01
        17   -5.9063568920e+00    3.4941330564e+01   -9.6605608611e+00    3.7542039691e+00    7.7402127463e+00    7.0352107511e+00   -2.5228519295e+01    7.9253493656e-01    5.0064000000e+04    2.9553292151e-01    5.7211394415e-01
        18   -5.9074790606e+00    3.4955104020e+01   -9.6968372122e+00    3.7893581517e+00    7.7547226757e+00    7.0352107511e+00   -2.5272242353e+01    7.8547171382e-01    5.0064000000e+04    2.9650281170e-01    5.7195227609e-01
        19   -5.9079758735e+00    3.4971300452e+01   -9.6991666084e+00    3.7911907349e+00    7.7467741393e+00    7.0352107511e+00   -2.5279865037e+01    7.9871353794e-01    5.0064000000e+04    2.9611057038e-01    5.7122757870e-01
