#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2652703146e+00    3.9309983765e+01   -1.0223601385e+01    3.9583310703e+00    8.4267508138e+00    7.0352107511e+00   -2.6432602495e+01    7.4703954483e-01    2.5704000000e+04    1.5833875726e-01    5.4233168962e-01
         1   -6.2644937876e+00    3.9303330910e+01   -1.0217209315e+01    3.9527155273e+00    8.4286924218e+00    7.0352107511e+00   -2.6447314351e+01    7.6620186308e-01    2.5704000000e+04    1.5801449249e-01    5.4297604458e-01
         2   -6.2615368913e+00    3.9262532602e+01   -1.0171263721e+01    3.9097268299e+00    8.4245638643e+00    7.0352107511e+00   -2.6402835521e+01    7.7179718400e-01    2.5704000000e+04    1.5730242320e-01    5.4230007975e-01
         3   -6.2663308822e+00    3.9323471622e+01   -1.0188487808e+01    3.9221569258e+00    8.4184234541e+00    7.0352107511e+00   -2.6391309047e+01    7.4918703332e-01    2.5704000000e+04    1.5751986644e-01    5.4266724051e-01
         4   -6.2637353856e+00    3.9291495533e+01   -1.0230631024e+01    3.9668956382e+00    8.4325049323e+00    7.0352107511e+00   -2.6464033654e+01    7.6568694704e-01    2.5704000000e+04    1.5776485869e-01    5.4185875739e-01
         5   -6.2620434306e+00    3.9274415143e+01   -1.0219341735e+01    3.9572983041e+00    8.4330426611e+00    7.0352107511e+00   -2.6457026086e+01    7.6943093884e-01    2.5704000000e+04    1.5808491205e-01    5.4261009960e-01
         6   -6.2635135868e+00    3.9292016246e+01   -1.0198034901e+01    3.9345213137e+00    8.4255526546e+00    7.0352107511e+00   -2.6436800035e+01    7.7800172915e-01    2.5704000000e+04    1.5774684178e-01    5.4288850957e-01
         7   -6.2636067747e+00    3.9291421301e+01   -1.0206805910e+01    3.9431991356e+00    8.4382350849e+00    7.0352107511e+00   -2.6470127461e+01    7.8987571478e-01    2.5704000000e+04    1.5788571116e-01    5.4262347300e-01
         8   -6.2652454288e+00    3.9309769439e+01   -1.0213184606e+01    3.9479391773e+00    8.4480698635e+00    7.0352107511e+00   -2.6463753888e+01    7.6728866732e-01    2.5704000000e+04    1.5813749097e-01    5.4181012683e-01
         9   -6.2623275383e+00    3.9273000025e+01   -1.0192245904e+01    3.9299183656e+00    8.4288724011e+00    7.0352107511e+00   -2.6427714034e+01    7.7138497753e-01    2.5704000000e+04    1.5747836090e-01    5.4099799642e-01
        10   -6.2637914425e+00    3.9293876529e+01   -1.0189489770e+01    3.9256983278e+00    8.4417262850e+00    7.0352107511e+00   -2.6450167779e+01    7.8374097283e-01    2.5704000000e+04    1.5791961050e-01    5.4242044040e-01
        11   -6.2658349374e+00    3.9317683281e+01   -1.0209902754e+01    3.9440678170e+00    8.4342460478e+00    7.0352107511e+00   -2.6420804424e+01    7.4144487104e-01    2.5704000000e+04    1.5784770532e-01    5.4278881692e-01
        12   -6.2610041908e+00    3.9257651343e+01   -1.0206564281e+01    3.9455600898e+00    8.4500590170e+00    7.0352107511e+00   -2.6458267394e+01    7.6643334476e-01    2.5704000000e+04    1.5796422714e-01    5.4207759493e-01
        13   -6.2618926872e+00    3.9276949325e+01   -1.0208159241e+01    3.9462665543e+00    8.4276237010e+00    7.0352107511e+00   -2.6440193437e+01    7.6919974373e-01    2.5704000000e+04    1.5781246594e-01    5.4217364029e-01
        14   -6.2602337147e+00    3.9250326641e+01   -1.0185435333e+01    3.9252016184e+00    8.4115486866e+00    7.0352107511e+00   -2.6392514663e+01    7.6031989176e-01    2.5704000000e+04    1.5741954121e-01    5.4246542367e-01
        15   -6.2643966185e+00    3.9299501164e+01   -1.0231006326e+01    3.9666097073e+00    8.4306101915e+00    7.0352107511e+00   -2.6458176639e+01    7.6134937053e-01    2.5704000000e+04    1.5808104366e-01    5.4205814270e-01
        16   -6.2644975898e+00    3.9300146810e+01   -1.0220796522e+01    3.9562989322e+00    8.4261303931e+00    7.0352107511e+00   -2.6438299869e+01    7.5616220248e-01    2.5704000000e+04    1.5771124838e-01    5.4137123599e-01
        17   -6.2647364883e+00    3.9304040054e+01   -1.0224518676e+01    3.9597821874e+00    8.4605658344e+00    7.0352107511e+00   -2.6499244770e+01    7.7894950919e-01    2.5704000000e+04    1.5837194904e-01    5.4239612512e-01
        18   -6.2618046650e+00    3.9271864516e+01   -1.0222317444e+01    3.9605127789e+00    8.4358566795e+00    7.0352107511e+00   -2.6472579686e+01    7.7919481125e-01    2.5704000000e+04    1.5761100346e-01    5.4182593176e-01
        19   -6.2662893217e+00    3.9322717736e+01   -1.0211151007e+01    3.9448616857e+00    8.4371784046e+00    7.0352107511e+00   -2.6429096970e+01    7.4555680677e-01    2.5704000000e+04    1.5797845449e-01    5.4293349284e-01
