#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.7218280823e+00    3.3217384646e+01   -9.1020688944e+00    3.3802408121e+00    7.7380769749e+00    7.0352107511e+00   -2.4595222712e+01    7.1986609179e-01    2.5872000000e+04    2.2996605829e-01    5.9167367231e-01
         1   -5.7145691644e+00    3.3132964993e+01   -9.0703416871e+00    3.3557725226e+00    7.7215401618e+00    7.0352107511e+00   -2.4553393998e+01    7.2630139797e-01    2.5872000000e+04    2.2966845252e-01    5.9163864409e-01
         2   -5.7221288365e+00    3.3207340631e+01   -9.1274846055e+00    3.4053557690e+00    7.7157483688e+00    7.0352107511e+00   -2.4585549290e+01    7.0710556416e-01    2.5872000000e+04    2.2965773755e-01    5.9067476422e-01
         3   -5.7099256483e+00    3.3080124637e+01   -9.1006573653e+00    3.3907317170e+00    7.7408181075e+00    7.0352107511e+00   -2.4589911497e+01    7.1322527321e-01    2.5872000000e+04    2.2977659052e-01    5.9082695578e-01
         4   -5.7266139821e+00    3.3262501968e+01   -9.1288060030e+00    3.4021920209e+00    7.7155586842e+00    7.0352107511e+00   -2.4580114404e+01    7.0053896549e-01    2.5872000000e+04    2.2963113206e-01    5.9156617192e-01
         5   -5.7220192971e+00    3.3203908445e+01   -9.0932307483e+00    3.3712114512e+00    7.7293714848e+00    7.0352107511e+00   -2.4563544539e+01    7.0573155519e-01    2.5872000000e+04    2.2976705400e-01    5.9236698941e-01
         6   -5.7169242026e+00    3.3157123464e+01   -9.1209790891e+00    3.4040548865e+00    7.7527289161e+00    7.0352107511e+00   -2.4635981329e+01    7.2706257240e-01    2.5872000000e+04    2.3016864155e-01    5.9222929229e-01
         7   -5.7196414428e+00    3.3179181262e+01   -9.0948749081e+00    3.3752334654e+00    7.7340506473e+00    7.0352107511e+00   -2.4575682218e+01    7.1154591143e-01    2.5872000000e+04    2.3005241581e-01    5.9173527365e-01
         8   -5.7058854356e+00    3.3044958005e+01   -9.1034621809e+00    3.3975767453e+00    7.7240139198e+00    7.0352107511e+00   -2.4562096473e+01    6.9940962062e-01    2.5872000000e+04    2.2939373606e-01    5.9173768939e-01
         9   -5.7200642824e+00    3.3193767117e+01   -9.1304176779e+00    3.4103533954e+00    7.7478836401e+00    7.0352107511e+00   -2.4605639281e+01    6.9212721209e-01    2.5872000000e+04    2.3019572722e-01    5.9114100186e-01
        10   -5.7180437435e+00    3.3172420293e+01   -9.0955848948e+00    3.3775411513e+00    7.7143740989e+00    7.0352107511e+00   -2.4538942025e+01    6.9377228010e-01    2.5872000000e+04    2.2937880540e-01    5.9186330782e-01
        11   -5.7134035454e+00    3.3113799777e+01   -9.0522385398e+00    3.3388349944e+00    7.7259520909e+00    7.0352107511e+00   -2.4523102453e+01    7.0970107138e-01    2.5872000000e+04    2.2961278849e-01    5.9237906810e-01
        12   -5.7216495758e+00    3.3202985625e+01   -9.1020735744e+00    3.3804239986e+00    7.7250472894e+00    7.0352107511e+00   -2.4574896145e+01    7.1256453021e-01    2.5872000000e+04    2.2958911296e-01    5.9134271606e-01
        13   -5.7084639449e+00    3.3057468454e+01   -9.0484327000e+00    3.3399687551e+00    7.6956348810e+00    7.0352107511e+00   -2.4488144197e+01    7.0886586465e-01    2.5872000000e+04    2.2883949506e-01    5.9341662801e-01
        14   -5.7219395064e+00    3.3210432742e+01   -9.1030317140e+00    3.3810922076e+00    7.7288303715e+00    7.0352107511e+00   -2.4556994530e+01    6.8992169315e-01    2.5872000000e+04    2.2990961588e-01    5.9178600417e-01
        15   -5.7198947109e+00    3.3187702109e+01   -9.1123947206e+00    3.3925000097e+00    7.7194592483e+00    7.0352107511e+00   -2.4583492516e+01    7.1642779618e-01    2.5872000000e+04    2.2946703246e-01    5.9203844890e-01
        16   -5.7241642252e+00    3.3244958818e+01   -9.0881334434e+00    3.3639692183e+00    7.7231828169e+00    7.0352107511e+00   -2.4549134767e+01    7.0260775558e-01    2.5872000000e+04    2.2983185907e-01    5.9171111626e-01
        17   -5.7099449702e+00    3.3077134493e+01   -9.0852060344e+00    3.3752610642e+00    7.7228769166e+00    7.0352107511e+00   -2.4571592275e+01    7.2829857282e-01    2.5872000000e+04    2.2930395209e-01    5.9102504638e-01
        18   -5.7174420898e+00    3.3163634291e+01   -9.0973012817e+00    3.3798591918e+00    7.7315209207e+00    7.0352107511e+00   -2.4568858026e+01    7.0482507205e-01    2.5872000000e+04    2.2983983025e-01    5.9178358844e-01
        19   -5.7096474008e+00    3.3068961809e+01   -9.0673870350e+00    3.3577396342e+00    7.7247549296e+00    7.0352107511e+00   -2.4543000864e+01    7.1564814804e-01    2.5872000000e+04    2.2973326343e-01    5.9117240646e-01
