#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2331619822e+00    3.8959819869e+01   -1.0063512750e+01    3.8303507674e+00    8.5567672758e+00    7.0352107511e+00   -2.6414069737e+01    7.5857896065e-01    2.5704000000e+04    1.4791349305e-01    5.4823300848e-01
         1   -6.2266209666e+00    3.8884057351e+01   -1.0055989378e+01    3.8293684118e+00    8.5562593398e+00    7.0352107511e+00   -2.6404773828e+01    7.5731435851e-01    2.5704000000e+04    1.4724474322e-01    5.4803605470e-01
         2   -6.2285333674e+00    3.8905921242e+01   -1.0105579985e+01    3.8770466175e+00    8.5429687731e+00    7.0352107511e+00   -2.6447650962e+01    7.6389145267e-01    2.5704000000e+04    1.4683656145e-01    5.4787314231e-01
         3   -6.2298680767e+00    3.8933154795e+01   -1.0093826531e+01    3.8639584545e+00    8.5602849394e+00    7.0352107511e+00   -2.6430351709e+01    7.4102948718e-01    2.5704000000e+04    1.4761391355e-01    5.4815276805e-01
         4   -6.2299576044e+00    3.8922984158e+01   -1.0072421310e+01    3.8424637052e+00    8.5586583130e+00    7.0352107511e+00   -2.6429105853e+01    7.6281547898e-01    2.5704000000e+04    1.4762366414e-01    5.4839956816e-01
         5   -6.2301740588e+00    3.8922605945e+01   -1.0070754587e+01    3.8405805286e+00    8.5634741479e+00    7.0352107511e+00   -2.6430160995e+01    7.6072150863e-01    2.5704000000e+04    1.4747617848e-01    5.4708289566e-01
         6   -6.2265981290e+00    3.8894157932e+01   -1.0106323784e+01    3.8797256554e+00    8.5634345786e+00    7.0352107511e+00   -2.6477879228e+01    7.7291011429e-01    2.5704000000e+04    1.4743813003e-01    5.4727741791e-01
         7   -6.2242188213e+00    3.8857333349e+01   -1.0028184682e+01    3.8039658609e+00    8.5436211171e+00    7.0352107511e+00   -2.6353207776e+01    7.4619122517e-01    2.5704000000e+04    1.4716512889e-01    5.4886034275e-01
         8   -6.2292430897e+00    3.8911932560e+01   -1.0104239595e+01    3.8749965050e+00    8.5866470496e+00    7.0352107511e+00   -2.6494021600e+01    7.6792420412e-01    2.5704000000e+04    1.4805674963e-01    5.4750355003e-01
         9   -6.2291223445e+00    3.8913656669e+01   -1.0078131488e+01    3.8490091438e+00    8.5539081437e+00    7.0352107511e+00   -2.6444199738e+01    7.7694935503e-01    2.5704000000e+04    1.4751271086e-01    5.4793271475e-01
        10   -6.2322545560e+00    3.8951191236e+01   -1.0089663402e+01    3.8574088464e+00    8.5538243445e+00    7.0352107511e+00   -2.6454285577e+01    7.7558707852e-01    2.5704000000e+04    1.4742778826e-01    5.4804334928e-01
        11   -6.2316789176e+00    3.8943526952e+01   -1.0117627640e+01    3.8859487228e+00    8.5655961668e+00    7.0352107511e+00   -2.6484897184e+01    7.6646262538e-01    2.5704000000e+04    1.4747216022e-01    5.4669749844e-01
        12   -6.2313576748e+00    3.8943701287e+01   -1.0062711728e+01    3.8313540532e+00    8.5507249696e+00    7.0352107511e+00   -2.6410335127e+01    7.6168767831e-01    2.5704000000e+04    1.4743068851e-01    5.4824516612e-01
        13   -6.2333099871e+00    3.8963537824e+01   -1.0084929705e+01    3.8516197181e+00    8.5443974892e+00    7.0352107511e+00   -2.6424233343e+01    7.5969539770e-01    2.5704000000e+04    1.4724493005e-01    5.4737103175e-01
        14   -6.2278769237e+00    3.8895612238e+01   -1.0088033063e+01    3.8601561393e+00    8.5565363733e+00    7.0352107511e+00   -2.6431896217e+01    7.5211603002e-01    2.5704000000e+04    1.4726052187e-01    5.4680934874e-01
        15   -6.2329448674e+00    3.8961675702e+01   -1.0108368679e+01    3.8754238118e+00    8.5753272165e+00    7.0352107511e+00   -2.6464605705e+01    7.4569905765e-01    2.5704000000e+04    1.4802248715e-01    5.4692849362e-01
        16   -6.2334480829e+00    3.8960027157e+01   -1.0081687686e+01    3.8482396035e+00    8.5304946390e+00    7.0352107511e+00   -2.6402594111e+01    7.5520103415e-01    2.5704000000e+04    1.4678233441e-01    5.4694308279e-01
        17   -6.2311196740e+00    3.8938265669e+01   -1.0071074235e+01    3.8399545611e+00    8.5586063489e+00    7.0352107511e+00   -2.6420170947e+01    7.5527961188e-01    2.5704000000e+04    1.4724979659e-01    5.4705371732e-01
        18   -6.2295225705e+00    3.8916334452e+01   -1.0087429285e+01    3.8579067146e+00    8.5615734289e+00    7.0352107511e+00   -2.6449158561e+01    7.6494509624e-01    2.5704000000e+04    1.4751610369e-01    5.4728228097e-01
        19   -6.2306996710e+00    3.8930973674e+01   -1.0073981438e+01    3.8432817668e+00    8.5566894059e+00    7.0352107511e+00   -2.6427149549e+01    7.6126795399e-01    2.5704000000e+04    1.4731935777e-01    5.4713152622e-01
