#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.8553925560e+00    3.4400990850e+01   -9.3207116928e+00    3.4653191369e+00    7.6615729305e+00    7.0352107511e+00   -2.4756106375e+01    7.3861100032e-01    2.5704000000e+04    2.2413448980e-01    5.8632411298e-01
         1   -5.8571564746e+00    3.4424271596e+01   -9.3585787132e+00    3.5014222386e+00    7.7011536186e+00    7.0352107511e+00   -2.4844961454e+01    7.5001837158e-01    2.5704000000e+04    2.2496285834e-01    5.8677516145e-01
         2   -5.8571369468e+00    3.4421694543e+01   -9.3635961707e+00    3.5064592239e+00    7.6801540501e+00    7.0352107511e+00   -2.4808838584e+01    7.2987761196e-01    2.5704000000e+04    2.2448008204e-01    5.8632897603e-01
         3   -5.8610511656e+00    3.4466842912e+01   -9.3945986873e+00    3.5335475217e+00    7.6743231675e+00    7.0352107511e+00   -2.4842347410e+01    7.3821480451e-01    2.5704000000e+04    2.2408191049e-01    5.8552292445e-01
         4   -5.8551090177e+00    3.4401117184e+01   -9.3529948374e+00    3.4978858197e+00    7.6851084194e+00    7.0352107511e+00   -2.4830539387e+01    7.5722537874e-01    2.5704000000e+04    2.2427000880e-01    5.8654416628e-01
         5   -5.8553683884e+00    3.4400518019e+01   -9.3644576715e+00    3.5090892830e+00    7.6779690133e+00    7.0352107511e+00   -2.4820898692e+01    7.4326125564e-01    2.5704000000e+04    2.2417381556e-01    5.8534542289e-01
         6   -5.8474752319e+00    3.4316876531e+01   -9.3396268729e+00    3.4921516409e+00    7.6641540807e+00    7.0352107511e+00   -2.4776851578e+01    7.3785987357e-01    2.5704000000e+04    2.2340249732e-01    5.8578309796e-01
         7   -5.8604578318e+00    3.4459060354e+01   -9.3569660878e+00    3.4965082560e+00    7.6793646751e+00    7.0352107511e+00   -2.4821857133e+01    7.5031561919e-01    2.5704000000e+04    2.2459345463e-01    5.8785354420e-01
         8   -5.8594075827e+00    3.4448413580e+01   -9.3463835676e+00    3.4869759848e+00    7.6612243722e+00    7.0352107511e+00   -2.4789056844e+01    7.4623815349e-01    2.5704000000e+04    2.2376766697e-01    5.8579039255e-01
         9   -5.8502622211e+00    3.4344750656e+01   -9.3717163135e+00    3.5214540924e+00    7.6918739695e+00    7.0352107511e+00   -2.4852605017e+01    7.5380398330e-01    2.5704000000e+04    2.2411321129e-01    5.8598491480e-01
        10   -5.8540073298e+00    3.4385859704e+01   -9.3628142448e+00    3.5088069150e+00    7.6903563335e+00    7.0352107511e+00   -2.4824364782e+01    7.3598345206e-01    2.5704000000e+04    2.2431767251e-01    5.8734292328e-01
        11   -5.8581782600e+00    3.4438060913e+01   -9.3603216098e+00    3.5021433498e+00    7.6849300163e+00    7.0352107511e+00   -2.4837835873e+01    7.5737349585e-01    2.5704000000e+04    2.2425595911e-01    5.8636544896e-01
        12   -5.8548855385e+00    3.4395900977e+01   -9.3789493152e+00    3.5240637767e+00    7.6747390247e+00    7.0352107511e+00   -2.4815995675e+01    7.2709658352e-01    2.5704000000e+04    2.2388325459e-01    5.8656118697e-01
        13   -5.8527384725e+00    3.4371295624e+01   -9.3063891647e+00    3.4536506922e+00    7.6677531583e+00    7.0352107511e+00   -2.4743669753e+01    7.3431667843e-01    2.5704000000e+04    2.2380085707e-01    5.8675814076e-01
        14   -5.8528585163e+00    3.4374783228e+01   -9.3556723246e+00    3.5028138083e+00    7.6765952240e+00    7.0352107511e+00   -2.4815477181e+01    7.4799888127e-01    2.5704000000e+04    2.2374433950e-01    5.8569191566e-01
        15   -5.8586733216e+00    3.4441102897e+01   -9.3597079728e+00    3.5010346512e+00    7.6813328988e+00    7.0352107511e+00   -2.4812770395e+01    7.3651877222e-01    2.5704000000e+04    2.2412699781e-01    5.8609068627e-01
        16   -5.8563408604e+00    3.4412598689e+01   -9.3757188762e+00    3.5193780158e+00    7.6783350942e+00    7.0352107511e+00   -2.4825879665e+01    7.3661494392e-01    2.5704000000e+04    2.2410259004e-01    5.8509132820e-01
        17   -5.8550148814e+00    3.4397692242e+01   -9.3404047621e+00    3.4853898806e+00    7.6725174375e+00    7.0352107511e+00   -2.4795180971e+01    7.4704802001e-01    2.5704000000e+04    2.2383442004e-01    5.8624387255e-01
        18   -5.8487719328e+00    3.4325146453e+01   -9.3432730951e+00    3.4945011623e+00    7.6658531932e+00    7.0352107511e+00   -2.4765891954e+01    7.2155491439e-01    2.5704000000e+04    2.2362087988e-01    5.8604083995e-01
        19   -5.8624941195e+00    3.4484929245e+01   -9.3833721094e+00    3.5208779899e+00    7.6615049497e+00    7.0352107511e+00   -2.4837044238e+01    7.5695642764e-01    2.5704000000e+04    2.2374884207e-01    5.8490288477e-01
