0: output to qw.dmc.o
1938: Timestep is 1.18783088235294
0: Timestep is 1.18783088235294
317: Timestep is 1.18783088235294
1201: Timestep is 1.18783088235294
859: Timestep is 1.18783088235294
544: Timestep is 1.18783088235294
1360: Timestep is 1.18783088235294
2149: Timestep is 1.18783088235294
1644: Timestep is 1.18783088235294
1908: Timestep is 1.18783088235294
1909: Timestep is 1.18783088235294
274: Timestep is 1.18783088235294
1910: Timestep is 1.18783088235294
275: Timestep is 1.18783088235294
277: Timestep is 1.18783088235294
1912: Timestep is 1.18783088235294
1913: Timestep is 1.18783088235294
1923: Timestep is 1.18783088235294
639: Timestep is 1.18783088235294
928: Timestep is 1.18783088235294
1726: Timestep is 1.18783088235294
1088: Timestep is 1.18783088235294
745: Timestep is 1.18783088235294
1736: Timestep is 1.18783088235294
1092: Timestep is 1.18783088235294
817: Timestep is 1.18783088235294
105: Timestep is 1.18783088235294
546: Timestep is 1.18783088235294
1741: Timestep is 1.18783088235294
1093: Timestep is 1.18783088235294
818: Timestep is 1.18783088235294
548: Timestep is 1.18783088235294
1815: Timestep is 1.18783088235294
278: Timestep is 1.18783088235294
1: Timestep is 1.18783088235294
1095: Timestep is 1.18783088235294
820: Timestep is 1.18783088235294
1831: Timestep is 1.18783088235294
282: Timestep is 1.18783088235294
2: Timestep is 1.18783088235294
1098: Timestep is 1.18783088235294
821: Timestep is 1.18783088235294
1524: Timestep is 1.18783088235294
283: Timestep is 1.18783088235294
9: Timestep is 1.18783088235294
823: Timestep is 1.18783088235294
1539: Timestep is 1.18783088235294
284: Timestep is 1.18783088235294
1924: Timestep is 1.18783088235294
12: Timestep is 1.18783088235294
1540: Timestep is 1.18783088235294
285: Timestep is 1.18783088235294
1362: Timestep is 1.18783088235294
291: Timestep is 1.18783088235294
1933: Timestep is 1.18783088235294
1935: Timestep is 1.18783088235294
549: Timestep is 1.18783088235294
1632: Timestep is 1.18783088235294
1937: Timestep is 1.18783088235294
1104: Timestep is 1.18783088235294
826: Timestep is 1.18783088235294
1363: Timestep is 1.18783088235294
550: Timestep is 1.18783088235294
1634: Timestep is 1.18783088235294
1939: Timestep is 1.18783088235294
1106: Timestep is 1.18783088235294
1367: Timestep is 1.18783088235294
