0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
0: Timestep is 1.80565
1637: Timestep is 1.80565
1476: Timestep is 1.80565
1094: Timestep is 1.80565
816: Timestep is 1.80565
561: Timestep is 1.80565
376: Timestep is 1.80565
1904: Timestep is 1.80565
1362: Timestep is 1.80565
1201: Timestep is 1.80565
78: Timestep is 1.80565
646: Timestep is 1.80565
448: Timestep is 1.80565
470: Timestep is 1.80565
285: Timestep is 1.80565
1203: Timestep is 1.80565
748: Timestep is 1.80565
1368: Timestep is 1.80565
286: Timestep is 1.80565
1088: Timestep is 1.80565
544: Timestep is 1.80565
1378: Timestep is 1.80565
289: Timestep is 1.80565
1089: Timestep is 1.80565
546: Timestep is 1.80565
1384: Timestep is 1.80565
837: Timestep is 1.80565
841: Timestep is 1.80565
1750: Timestep is 1.80565
1101: Timestep is 1.80565
844: Timestep is 1.80565
1632: Timestep is 1.80565
549: Timestep is 1.80565
848: Timestep is 1.80565
1645: Timestep is 1.80565
15: Timestep is 1.80565
1388: Timestep is 1.80565
1104: Timestep is 1.80565
290: Timestep is 1.80565
854: Timestep is 1.80565
2103: Timestep is 1.80565
1646: Timestep is 1.80565
36: Timestep is 1.80565
1106: Timestep is 1.80565
292: Timestep is 1.80565
2117: Timestep is 1.80565
1650: Timestep is 1.80565
1109: Timestep is 1.80565
296: Timestep is 1.80565
2175: Timestep is 1.80565
1655: Timestep is 1.80565
1113: Timestep is 1.80565
305: Timestep is 1.80565
1918: Timestep is 1.80565
1658: Timestep is 1.80565
1116: Timestep is 1.80565
309: Timestep is 1.80565
1930: Timestep is 1.80565
1692: Timestep is 1.80565
1935: Timestep is 1.80565
1706: Timestep is 1.80565
1938: Timestep is 1.80565
1392: Timestep is 1.80565
1940: Timestep is 1.80565
1121: Timestep is 1.80565
1948: Timestep is 1.80565
551: Timestep is 1.80565
1408: Timestep is 1.80565
859: Timestep is 1.80565
1949: Timestep is 1.80565
554: Timestep is 1.80565
1409: Timestep is 1.80565
862: Timestep is 1.80565
1950: Timestep is 1.80565
563: Timestep is 1.80565
1425: Timestep is 1.80565
868: Timestep is 1.80565
1710: Timestep is 1.80565
44: Timestep is 1.80565
1429: Timestep is 1.80565
577: Timestep is 1.80565
1434: Timestep is 1.80565
870: Timestep is 1.80565
1952: Timestep is 1.80565
1718: Timestep is 1.80565
59: Timestep is 1.80565
580: Timestep is 1.80565
880: Timestep is 1.80565
1955: Timestep is 1.80565
1735: Timestep is 1.80565
69: Timestep is 1.80565
587: Timestep is 1.80565
311: Timestep is 1.80565
881: Timestep is 1.80565
1957: Timestep is 1.80565
1743: Timestep is 1.80565
74: Timestep is 1.80565
589: Timestep is 1.80565
312: Timestep is 1.80565
81: Timestep is 1.80565
1440: Timestep is 1.80565
1124: Timestep is 1.80565
321: Timestep is 1.80565
903: Timestep is 1.80565
1963: Timestep is 1.80565
1745: Timestep is 1.80565
86: Timestep is 1.80565
608: Timestep is 1.80565
1138: Timestep is 1.80565
322: Timestep is 1.80565
1966: Timestep is 1.80565
1746: Timestep is 1.80565
88: Timestep is 1.80565
618: Timestep is 1.80565
1443: Timestep is 1.80565
1149: Timestep is 1.80565
330: Timestep is 1.80565
904: Timestep is 1.80565
1975: Timestep is 1.80565
1748: Timestep is 1.80565
622: Timestep is 1.80565
1444: Timestep is 1.80565
1161: Timestep is 1.80565
336: Timestep is 1.80565
907: Timestep is 1.80565
1982: Timestep is 1.80565
1749: Timestep is 1.80565
97: Timestep is 1.80565
1451: Timestep is 1.80565
1171: Timestep is 1.80565
913: Timestep is 1.80565
1984: Timestep is 1.80565
1761: Timestep is 1.80565
99: Timestep is 1.80565
625: Timestep is 1.80565
1452: Timestep is 1.80565
340: Timestep is 1.80565
919: Timestep is 1.80565
1985: Timestep is 1.80565
1764: Timestep is 1.80565
105: Timestep is 1.80565
633: Timestep is 1.80565
1988: Timestep is 1.80565
1766: Timestep is 1.80565
1453: Timestep is 1.80565
343: Timestep is 1.80565
934: Timestep is 1.80565
108: Timestep is 1.80565
640: Timestep is 1.80565
1991: Timestep is 1.80565
1800: Timestep is 1.80565
1457: Timestep is 1.80565
349: Timestep is 1.80565
937: Timestep is 1.80565
114: Timestep is 1.80565
644: Timestep is 1.80565
940: Timestep is 1.80565
1992: Timestep is 1.80565
1835: Timestep is 1.80565
124: Timestep is 1.80565
653: Timestep is 1.80565
1461: Timestep is 1.80565
351: Timestep is 1.80565
2005: Timestep is 1.80565
1842: Timestep is 1.80565
131: Timestep is 1.80565
656: Timestep is 1.80565
1474: Timestep is 1.80565
359: Timestep is 1.80565
949: Timestep is 1.80565
2013: Timestep is 1.80565
1880: Timestep is 1.80565
135: Timestep is 1.80565
1482: Timestep is 1.80565
373: Timestep is 1.80565
950: Timestep is 1.80565
659: Timestep is 1.80565
1177: Timestep is 1.80565
2016: Timestep is 1.80565
1638: Timestep is 1.80565
1490: Timestep is 1.80565
378: Timestep is 1.80565
163: Timestep is 1.80565
660: Timestep is 1.80565
1189: Timestep is 1.80565
967: Timestep is 1.80565
2018: Timestep is 1.80565
1639: Timestep is 1.80565
184: Timestep is 1.80565
662: Timestep is 1.80565
1516: Timestep is 1.80565
207: Timestep is 1.80565
1190: Timestep is 1.80565
970: Timestep is 1.80565
2021: Timestep is 1.80565
1641: Timestep is 1.80565
665: Timestep is 1.80565
1212: Timestep is 1.80565
984: Timestep is 1.80565
2028: Timestep is 1.80565
1651: Timestep is 1.80565
217: Timestep is 1.80565
687: Timestep is 1.80565
2033: Timestep is 1.80565
1221: Timestep is 1.80565
691: Timestep is 1.80565
1523: Timestep is 1.80565
1233: Timestep is 1.80565
382: Timestep is 1.80565
391: Timestep is 1.80565
1529: Timestep is 1.80565
393: Timestep is 1.80565
1534: Timestep is 1.80565
396: Timestep is 1.80565
1652: Timestep is 1.80565
218: Timestep is 1.80565
692: Timestep is 1.80565
1555: Timestep is 1.80565
1254: Timestep is 1.80565
408: Timestep is 1.80565
988: Timestep is 1.80565
2035: Timestep is 1.80565
1653: Timestep is 1.80565
228: Timestep is 1.80565
700: Timestep is 1.80565
1569: Timestep is 1.80565
1262: Timestep is 1.80565
409: Timestep is 1.80565
242: Timestep is 1.80565
702: Timestep is 1.80565
1578: Timestep is 1.80565
1265: Timestep is 1.80565
1000: Timestep is 1.80565
2038: Timestep is 1.80565
1656: Timestep is 1.80565
247: Timestep is 1.80565
705: Timestep is 1.80565
1270: Timestep is 1.80565
1001: Timestep is 1.80565
2053: Timestep is 1.80565
1657: Timestep is 1.80565
253: Timestep is 1.80565
1275: Timestep is 1.80565
1002: Timestep is 1.80565
2057: Timestep is 1.80565
1664: Timestep is 1.80565
254: Timestep is 1.80565
710: Timestep is 1.80565
1302: Timestep is 1.80565
