#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2311355733e+00    3.8923062256e+01   -1.0177723440e+01    3.9465878670e+00    8.5591521298e+00    7.0352112605e+00   -2.6475933241e+01    7.0384641042e-01    4.0320000000e+03    1.7666349298e-02    5.4168216766e-01
         1   -6.2461419098e+00    3.9107916414e+01   -1.0132729002e+01    3.8865870921e+00    8.5405960084e+00    7.0352112605e+00   -2.6343843539e+01    6.3530726835e-01    4.0320000000e+03    1.7791385699e-02    5.4233320933e-01
         2   -6.2357488523e+00    3.8988757139e+01   -1.0064275871e+01    3.8285270182e+00    8.5106247402e+00    7.0352112605e+00   -2.6323130545e+01    7.1301867379e-01    4.0320000000e+03    1.7717041472e-02    5.4429408482e-01
         3   -6.2276985201e+00    3.8875636927e+01   -1.0146107745e+01    3.9184092253e+00    8.5613772084e+00    7.0352112605e+00   -2.6406196796e+01    6.6350058192e-01    4.0320000000e+03    1.7742854456e-02    5.4533265129e-01
         4   -6.2270183479e+00    3.8883183106e+01   -1.0141081760e+01    3.9140634119e+00    8.5695833033e+00    7.0352112605e+00   -2.6488574268e+01    7.4269794434e-01    4.0320000000e+03    1.7742559940e-02    5.4284474206e-01
         5   -6.2349368476e+00    3.8977118066e+01   -1.0088178183e+01    3.8532413356e+00    8.5438525403e+00    7.0352112605e+00   -2.6406755213e+01    7.3951322873e-01    4.0320000000e+03    1.7754645025e-02    5.4541015625e-01
         6   -6.2337753938e+00    3.8960545102e+01   -1.0142527008e+01    3.9087516141e+00    8.5710758448e+00    7.0352112605e+00   -2.6445525069e+01    6.9671095571e-01    4.0320000000e+03    1.7858020125e-02    5.4485212054e-01
         7   -6.2279933772e+00    3.8887298044e+01   -1.0076032433e+01    3.8480390563e+00    8.5249451439e+00    7.0352112605e+00   -2.6377086654e+01    7.4089781584e-01    4.0320000000e+03    1.7739280674e-02    5.4441809276e-01
         8   -6.2301091586e+00    3.8916182848e+01   -1.0131441403e+01    3.9013322448e+00    8.5655464488e+00    7.0352112605e+00   -2.6472569142e+01    7.4037002892e-01    4.0320000000e+03    1.7790070173e-02    5.4217044891e-01
         9   -6.2280408390e+00    3.8886006150e+01   -1.0047641186e+01    3.8196003466e+00    8.5493441795e+00    7.0352112605e+00   -2.6351918751e+01    7.1972212535e-01    4.0320000000e+03    1.7786874343e-02    5.4297650050e-01
        10   -6.2412071841e+00    3.9047894864e+01   -1.0127734025e+01    3.8865268406e+00    8.5283411087e+00    7.0352112605e+00   -2.6419710187e+01    7.2842379281e-01    4.0320000000e+03    1.7772295095e-02    5.4365854415e-01
        11   -6.2291852304e+00    3.8903372540e+01   -1.0155646852e+01    3.9264616218e+00    8.5343887161e+00    7.0352112605e+00   -2.6417249030e+01    6.9200220172e-01    4.0320000000e+03    1.7725852676e-02    5.4294549851e-01
        12   -6.2349544011e+00    3.8974786503e+01   -1.0067323551e+01    3.8323691500e+00    8.5291609452e+00    7.0352112605e+00   -2.6377325451e+01    7.4562969448e-01    4.0320000000e+03    1.7744423416e-02    5.4588293651e-01
        13   -6.2366372192e+00    3.8992183672e+01   -1.0060797158e+01    3.8241599390e+00    8.5124367351e+00    7.0352112605e+00   -2.6328427974e+01    7.1998282068e-01    4.0320000000e+03    1.7818263359e-02    5.4575892857e-01
        14   -6.2374601783e+00    3.9009129683e+01   -1.0033788113e+01    3.7963279350e+00    8.5005026283e+00    7.0352112605e+00   -2.6270508205e+01    7.0100620326e-01    4.0320000000e+03    1.7691323233e-02    5.4375930060e-01
        15   -6.2360202428e+00    3.8985202517e+01   -1.0108853243e+01    3.8728330002e+00    8.5410427293e+00    7.0352112605e+00   -2.6416194864e+01    7.3108763086e-01    4.0320000000e+03    1.7825128369e-02    5.4544115823e-01
        16   -6.2355925306e+00    3.8980902439e+01   -1.0102854468e+01    3.8672619371e+00    8.5402456830e+00    7.0352112605e+00   -2.6359641801e+01    6.8133038933e-01    4.0320000000e+03    1.7725492892e-02    5.4550316220e-01
        17   -6.2296297560e+00    3.8961127509e+01   -1.0169535910e+01    3.9399061540e+00    8.5765591353e+00    7.0352112605e+00   -2.6512048757e+01    7.3074245079e-01    4.0320000000e+03    1.7794886423e-02    5.4543340774e-01
        18   -6.2346176670e+00    3.8968190961e+01   -1.0117361916e+01    3.8827442486e+00    8.5301087186e+00    7.0352112605e+00   -2.6425112090e+01    7.4243019498e-01    4.0320000000e+03    1.7762285305e-02    5.4274398562e-01
        19   -6.2262751788e+00    3.8866729286e+01   -1.0079232107e+01    3.8529569286e+00    8.5234808129e+00    7.0352112605e+00   -2.6350158964e+01    7.1223478324e-01    4.0320000000e+03    1.7730012152e-02    5.4361979167e-01
