#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.9139560920e+00    3.5035937852e+01   -9.8584821719e+00    3.9445260800e+00    8.0484932188e+00    7.0352112605e+00   -2.5660040018e+01    7.1785336634e-01    6.7200000000e+03    2.9052756628e-02    5.5401320685e-01
         1   -5.9131325235e+00    3.5026457990e+01   -9.8801477075e+00    3.9670151840e+00    8.0959090995e+00    7.0352112605e+00   -2.5718455863e+01    7.0718779507e-01    6.7200000000e+03    2.9239574962e-02    5.5425037202e-01
         2   -5.9100391850e+00    3.4991894810e+01   -9.7887968776e+00    3.8787576926e+00    8.0830495318e+00    7.0352112605e+00   -2.5628002250e+01    7.2094457976e-01    6.7200000000e+03    2.9140604477e-02    5.5544549851e-01
         3   -5.9148711478e+00    3.5049593767e+01   -9.8353295990e+00    3.9204584512e+00    8.0792017776e+00    7.0352112605e+00   -2.5656624028e+01    7.0688139136e-01    6.7200000000e+03    2.9193463100e-02    5.5736142113e-01
         4   -5.9090147877e+00    3.4975286974e+01   -9.8546109783e+00    3.9455961906e+00    8.1072223823e+00    7.0352112605e+00   -2.5709561333e+01    7.1251671196e-01    6.7200000000e+03    2.9264574158e-02    5.5553850446e-01
         5   -5.9129577421e+00    3.5025737532e+01   -9.8859737831e+00    3.9730160410e+00    8.1034616298e+00    7.0352112605e+00   -2.5785113384e+01    7.6046671064e-01    6.7200000000e+03    2.9180296436e-02    5.5476655506e-01
         6   -5.9151243817e+00    3.5048898622e+01   -9.8065226187e+00    3.8913982370e+00    8.1167820928e+00    7.0352112605e+00   -2.5731413057e+01    7.7289708500e-01    6.7200000000e+03    2.9201712983e-02    5.5664062500e-01
         7   -5.9064769746e+00    3.4949077460e+01   -9.8751712288e+00    3.9686942542e+00    8.0752604184e+00    7.0352112605e+00   -2.5701749149e+01    7.1610624159e-01    6.7200000000e+03    2.9163685744e-02    5.5742187500e-01
         8   -5.9076240606e+00    3.4970214674e+01   -9.8369439218e+00    3.9293198611e+00    8.1018649887e+00    7.0352112605e+00   -2.5747156108e+01    7.7313593706e-01    6.7200000000e+03    2.9154437700e-02    5.5575241815e-01
         9   -5.9133199155e+00    3.5024046494e+01   -9.7897272497e+00    3.8764073342e+00    8.0689775427e+00    7.0352112605e+00   -2.5611021902e+01    7.1710584872e-01    6.7200000000e+03    2.9171876882e-02    5.5543154762e-01
        10   -5.9147664346e+00    3.5044282795e+01   -9.8015787239e+00    3.8868122893e+00    8.0679149460e+00    7.0352112605e+00   -2.5636082384e+01    7.3137745310e-01    6.7200000000e+03    2.9144622243e-02    5.5628720238e-01
        11   -5.9048110551e+00    3.4932280216e+01   -9.8002049008e+00    3.8953938457e+00    8.0638728357e+00    7.0352112605e+00   -2.5630332266e+01    7.3104326915e-01    6.7200000000e+03    2.9125003522e-02    5.5639415923e-01
        12   -5.9062498274e+00    3.5149274751e+01   -9.8382257192e+00    3.9319758918e+00    8.0351037004e+00    7.0352112605e+00   -2.5631956658e+01    7.2341597781e-01    6.7200000000e+03    2.9145250249e-02    5.5573381696e-01
        13   -5.9084783462e+00    3.4968279228e+01   -9.8384099460e+00    3.9299315998e+00    8.0359720162e+00    7.0352112605e+00   -2.5622215373e+01    7.1262215005e-01    6.7200000000e+03    2.9052059861e-02    5.5641741071e-01
        14   -5.9131181276e+00    3.5034276758e+01   -9.8603003021e+00    3.9471821745e+00    8.0688927471e+00    7.0352112605e+00   -2.5682710211e+01    7.1830590112e-01    6.7200000000e+03    2.9160457813e-02    5.5546875000e-01
        15   -5.9162436838e+00    3.5059131330e+01   -9.8269790340e+00    3.9107353501e+00    8.0789998020e+00    7.0352112605e+00   -2.5628567333e+01    6.8737723640e-01    6.7200000000e+03    2.9132684854e-02    5.5638020833e-01
        16   -5.9126550713e+00    3.5031005505e+01   -9.8533840296e+00    3.9407289583e+00    8.0710114957e+00    7.0352112605e+00   -2.5688624205e+01    7.2901741891e-01    6.7200000000e+03    2.9133750538e-02    5.5687313988e-01
        17   -5.9158974816e+00    3.5066488155e+01   -9.8780818019e+00    3.9621843203e+00    8.0662373029e+00    7.0352112605e+00   -2.5722358396e+01    7.4282803056e-01    6.7200000000e+03    2.9245635451e-02    5.5389229911e-01
        18   -5.9034424785e+00    3.4911090875e+01   -9.7872612350e+00    3.8838187566e+00    8.0416229096e+00    7.0352112605e+00   -2.5588399992e+01    7.2430458732e-01    6.7200000000e+03    2.9071228245e-02    5.5464099702e-01
        19   -5.9079483909e+00    3.4963491947e+01   -9.8603374898e+00    3.9523890989e+00    8.0807617632e+00    7.0352112605e+00   -2.5674337970e+01    6.9802745700e-01    6.7200000000e+03    2.9139796697e-02    5.5530133929e-01
