#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.9222601533e+00    3.5131715694e+01   -9.9155988731e+00    3.9933387198e+00    8.0653343738e+00    7.0352112452e+00   -2.5726889869e+01    7.1074537734e-01    2.5536000000e+04    2.9106084752e+00    5.5251776903e-01
         1   -5.9192961497e+00    3.5092417547e+01   -9.9191639041e+00    3.9998677544e+00    8.0673369694e+00    7.0352112452e+00   -2.5737676150e+01    7.1596403095e-01    2.5536000000e+04    2.9036892059e+00    5.5212616502e-01
         2   -5.9218560662e+00    3.5125529668e+01   -9.9346284409e+00    4.0127723747e+00    8.0616355668e+00    7.0352112452e+00   -2.5762479971e+01    7.3100471842e-01    2.5536000000e+04    2.9092727597e+00    5.5158403822e-01
         3   -5.9223922107e+00    3.5129045340e+01   -9.8901193330e+00    3.9677271223e+00    8.0542841122e+00    7.0352112452e+00   -2.5689986989e+01    7.1037229809e-01    2.5536000000e+04    2.9005556118e+00    5.5273437500e-01
         4   -5.9251413195e+00    3.5170071117e+01   -9.9311570020e+00    4.0060156825e+00    8.0856241527e+00    7.0352112452e+00   -2.5777600602e+01    7.2560820162e-01    2.5536000000e+04    2.9144903185e+00    5.5131970551e-01
         5   -5.9204452658e+00    3.5117563842e+01   -9.9255675624e+00    4.0051222966e+00    8.0815114163e+00    7.0352112452e+00   -2.5761720530e+01    7.1943030611e-01    2.5536000000e+04    2.9174464232e+00    5.5269766212e-01
         6   -5.9198320347e+00    3.5101679846e+01   -9.9328996968e+00    4.0130676621e+00    8.0876670370e+00    7.0352112452e+00   -2.5767110924e+01    7.1133294499e-01    2.5536000000e+04    2.9153829563e+00    5.5279556313e-01
         7   -5.9210635542e+00    3.5117939093e+01   -9.9253553460e+00    4.0042917918e+00    8.0470261473e+00    7.0352112452e+00   -2.5733824050e+01    7.2623131157e-01    2.5536000000e+04    2.9052950351e+00    5.5224364622e-01
         8   -5.9187912618e+00    3.5100388032e+01   -9.9003529430e+00    3.9815616811e+00    8.0734320906e+00    7.0352112452e+00   -2.5741319175e+01    7.3232289604e-01    2.5536000000e+04    2.9116165532e+00    5.5230728188e-01
         9   -5.9230919568e+00    3.5148001913e+01   -9.9055103655e+00    3.9824184087e+00    8.0605561674e+00    7.0352112452e+00   -2.5727665779e+01    7.2638800064e-01    2.5536000000e+04    2.9070854971e+00    5.5352125431e-01
        10   -5.9193307137e+00    3.5090081070e+01   -9.9217270070e+00    4.0023962933e+00    8.0759753655e+00    7.0352112452e+00   -2.5749864714e+01    7.1695109611e-01    2.5536000000e+04    2.9097065295e+00    5.5259976112e-01
        11   -5.9212462558e+00    3.5132009027e+01   -9.9301748576e+00    4.0089286017e+00    8.0862129832e+00    7.0352112452e+00   -2.5769832097e+01    7.1823301137e-01    2.5536000000e+04    2.9116398963e+00    5.5258752350e-01
        12   -5.9196950355e+00    3.5095806275e+01   -9.9426601918e+00    4.0229651563e+00    8.1034296273e+00    7.0352112452e+00   -2.5804590037e+01    7.2328897260e-01    2.5536000000e+04    2.9145412799e+00    5.5169662437e-01
        13   -5.9217748557e+00    3.5137033254e+01   -9.9431885054e+00    4.0214136497e+00    8.0907137511e+00    7.0352112452e+00   -2.5784877422e+01    7.1576392046e-01    2.5536000000e+04    2.9111599681e+00    5.5189732143e-01
        14   -5.9208366286e+00    3.5113352718e+01   -9.8974867103e+00    3.9766500816e+00    8.0640240661e+00    7.0352112452e+00   -2.5714401598e+01    7.1767957669e-01    2.5536000000e+04    2.9096279682e+00    5.5160117090e-01
        15   -5.9194415048e+00    3.5107140781e+01   -9.8734605918e+00    3.9540190869e+00    8.0716162784e+00    7.0352112452e+00   -2.5700810632e+01    7.2052251621e-01    2.5536000000e+04    2.9109151094e+00    5.5180798676e-01
        16   -5.9208731661e+00    3.5112474883e+01   -9.9367974532e+00    4.0159242870e+00    8.0968301610e+00    7.0352112452e+00   -2.5802593385e+01    7.3375452572e-01    2.5536000000e+04    2.9146138548e+00    5.5086568961e-01
        17   -5.9233621742e+00    3.5157429025e+01   -9.9421562253e+00    4.0187940511e+00    8.0726080832e+00    7.0352112452e+00   -2.5781176828e+01    7.3120127443e-01    2.5536000000e+04    2.9134116356e+00    5.5187406994e-01
        18   -5.9213566246e+00    3.5121076649e+01   -9.9159218405e+00    3.9945652159e+00    8.0952807185e+00    7.0352112452e+00   -2.5758586994e+01    7.1217318978e-01    2.5536000000e+04    2.9175983321e+00    5.5233053336e-01
        19   -5.9207078711e+00    3.5105693070e+01   -9.9556236819e+00    4.0349158107e+00    8.0722552661e+00    7.0352112452e+00   -2.5766423644e+01    7.0333345053e-01    2.5536000000e+04    2.9109782499e+00    5.5131848175e-01
