# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -5.9196485112e+00    4.9352435363e-02    8.7110000000e+03    8.7040000000e+03    0.0000000000e+00   -5.9205406766e+00    9.9831471003e-01    9.9954044118e-01
         1   -5.9196074790e+00    5.0954469012e-02    8.6969475794e+03    8.7040000000e+03    0.0000000000e+00   -6.0000389835e+00    9.9836661361e-01    9.9908088235e-01
         2   -5.9217164023e+00    5.1288168598e-02    8.7040880576e+03    8.7050000000e+03    4.1360294118e-03   -5.9310957897e+00    9.9815350511e-01    9.9942561746e-01
         3   -5.9228122656e+00    5.0905171936e-02    8.7040741791e+03    8.7070000000e+03    3.2169117647e-03   -5.9561773756e+00    9.9818518504e-01    9.9919604916e-01
         4   -5.9220825630e+00    5.6421921277e-02    8.7039651765e+03    8.7040000000e+03    3.2169117647e-03   -5.9228122656e+00    9.9803053598e-01    9.9931066176e-01
         5   -5.9212621684e+00    8.1212259694e-02    8.7039540097e+03    8.7030000000e+03    2.7573529412e-03   -5.9105929324e+00    9.9784536784e-01    9.9942548546e-01
         6   -5.9241308837e+00    5.9331660194e-02    8.7041331851e+03    8.7040000000e+03    2.7573529412e-03   -5.9212621684e+00    9.9837461568e-01    9.9931066176e-01
         7   -5.9244330169e+00    6.0938309466e-02    8.7040461133e+03    8.7080000000e+03    4.5955882353e-03   -5.9700762095e+00    9.9834724147e-01    9.9931097841e-01
         8   -5.9228118823e+00    5.4415951774e-02    8.7039367653e+03    8.7080000000e+03    2.7573529412e-03   -5.9703783428e+00    9.9819014648e-01    9.9885163068e-01
         9   -5.9251906100e+00    6.4824989839e-02    8.7041113962e+03    8.7000000000e+03    4.5955882353e-03   -5.8768454370e+00    9.9837041734e-01    9.9977011494e-01
        10   -5.9250950597e+00    7.5984374555e-02    8.7040123558e+03    8.7050000000e+03    3.2169117647e-03   -5.9366789206e+00    9.9795794919e-01    9.9896611143e-01
        11   -5.9253083581e+00    7.0037593954e-02    8.6970535463e+03    8.6970000000e+03    4.1360294118e-03   -5.9243860585e+00    9.9807819225e-01    9.9954007129e-01
        12   -5.9281268733e+00    1.1360142090e-01    8.7000318426e+03    8.7000000000e+03    3.2169117647e-03   -5.9246831704e+00    9.9798768898e-01    9.9873563218e-01
        13   -5.9268389960e+00    6.8745112316e-02    8.6951177746e+03    8.6950000000e+03    5.0551470588e-03   -5.9241634669e+00    9.9813538003e-01    9.9930994825e-01
        14   -5.9283823134e+00    7.7129367309e-02    8.6932404310e+03    8.6930000000e+03    2.7573529412e-03   -5.9246656392e+00    9.9834060484e-01    9.9919475440e-01
        15   -5.9279925568e+00    6.1728806134e-02    8.6923311133e+03    8.6920000000e+03    3.2169117647e-03   -5.9247323517e+00    9.9821877691e-01    9.9965485504e-01
        16   -5.9285066899e+00    6.4710720883e-02    8.6952467391e+03    8.6950000000e+03    2.7573529412e-03   -5.9254558261e+00    9.9821961337e-01    9.9884991374e-01
        17   -5.9308839434e+00    6.8700372946e-02    8.6913904812e+03    8.6910000000e+03    4.1360294118e-03   -5.9252102841e+00    9.9828411988e-01    9.9919456909e-01
        18   -5.9310370357e+00    7.7936315560e-02    8.6904194467e+03    8.6900000000e+03    3.2169117647e-03   -5.9253204313e+00    9.9838851149e-01    9.9919447641e-01
        19   -5.9297138655e+00    5.8394025194e-02    8.6853768254e+03    8.6850000000e+03    3.2169117647e-03   -5.9251841985e+00    9.9819404217e-01    9.9953943581e-01
        20   -5.9316185561e+00    7.7835606031e-02    8.6863698562e+03    8.6860000000e+03    2.2977941176e-03   -5.9256660876e+00    9.9824434876e-01    9.9919410546e-01
        21   -5.9301150930e+00    6.3676377089e-02    8.6823587583e+03    8.6820000000e+03    3.2169117647e-03   -5.9253852542e+00    9.9823143934e-01    9.9907855333e-01
        22   -5.9282993011e+00    5.5965749037e-02    8.6813206148e+03    8.6810000000e+03    3.6764705882e-03   -5.9255786108e+00    9.9808835407e-01    9.9942402949e-01
        23   -5.9280210072e+00    6.8386304228e-02    8.6791664877e+03    8.6790000000e+03    2.2977941176e-03   -5.9254936208e+00    9.9810647569e-01    9.9919345547e-01
        24   -5.9278946291e+00    5.8003345176e-02    8.6821489792e+03    8.6820000000e+03    4.5955882353e-03   -5.9258341733e+00    9.9822018493e-01    9.9965445750e-01
        25   -5.9303117554e+00    2.0615184037e-01    8.6860145008e+03    8.6860000000e+03    3.2169117647e-03   -5.9262718613e+00    9.9774700967e-01    9.9953948883e-01
        26   -5.9279741481e+00    1.2132989576e-01    8.6859253037e+03    8.6860000000e+03    1.8382352941e-03   -5.9262438995e+00    9.9799995514e-01    9.9930923325e-01
        27   -5.9265763899e+00    6.3745048512e-02    8.6868808049e+03    8.6870000000e+03    3.2169117647e-03   -5.9264765324e+00    9.9872240955e-01    9.9873374007e-01
        28   -5.9283472297e+00    6.0150516417e-02    8.6831082930e+03    8.6830000000e+03    5.0551470588e-03   -5.9259905561e+00    9.9792817768e-01    9.9873315674e-01
        29   -5.9288502339e+00    7.1083106266e-02    8.6743168415e+03    8.6740000000e+03    5.0551470588e-03   -5.9248572070e+00    9.9811831774e-01    9.9930827761e-01
        30   -5.9303120259e+00    8.5647074421e-02    8.6752650878e+03    8.6750000000e+03    3.2169117647e-03   -5.9249743563e+00    9.9810490310e-01    9.9942363112e-01
        31   -5.9316891834e+00    7.7794445682e-02    8.6723909319e+03    8.6720000000e+03    2.2977941176e-03   -5.9246541186e+00    9.9820205750e-01    9.9976937269e-01
        32   -5.9293690316e+00    6.3470494253e-02    8.6734224293e+03    8.6730000000e+03    1.3786764706e-03   -5.9248591830e+00    9.9798924703e-01    9.9907759714e-01
        33   -5.9282212254e+00    5.4334876241e-02    8.6683730490e+03    8.6680000000e+03    3.6764705882e-03   -5.9244243438e+00    9.9783144100e-01    9.9930779880e-01
        34   -5.9268757949e+00    5.4734021888e-02    8.6633024352e+03    8.6630000000e+03    2.7573529412e-03   -5.9238806797e+00    9.9790926855e-01    9.9942283274e-01
        35   -5.9285113823e+00    5.0326577447e-02    8.6603454134e+03    8.6600000000e+03    2.2977941176e-03   -5.9235190769e+00    9.9829760577e-01    9.9953810624e-01
        36   -5.9275090041e+00    5.0225930271e-02    8.6584035943e+03    8.6580000000e+03    1.8382352941e-03   -5.9232222861e+00    9.9802329875e-01    9.9953799954e-01
        37   -5.9270214877e+00    5.2790068479e-02    8.6623055340e+03    8.6620000000e+03    3.6764705882e-03   -5.9236838152e+00    9.9802697415e-01    9.9942276610e-01
        38   -5.9265908610e+00    4.5704347950e-02    8.6622672844e+03    8.6620000000e+03    2.2977941176e-03   -5.9236476774e+00    9.9801311952e-01    9.9907642577e-01
        39   -5.9281102721e+00    4.5004803535e-02    8.6593521708e+03    8.6590000000e+03    3.6764705882e-03   -5.9232508206e+00    9.9825358158e-01    9.9976902645e-01
        40   -5.9298350290e+00    5.5705517571e-02    8.6634504621e+03    8.6630000000e+03    2.7573529412e-03   -5.9236512142e+00    9.9773160469e-01    9.9942283274e-01
        41   -5.9272140398e+00    5.1963543415e-02    8.6594441760e+03    8.6590000000e+03    2.2977941176e-03   -5.9231809044e+00    9.9772787502e-01    9.9919159256e-01
        42   -5.9249504799e+00    4.4367991348e-02    8.6592654134e+03    8.6590000000e+03    3.2169117647e-03   -5.9232268631e+00    9.9790814478e-01    9.9976902645e-01
        43   -5.9246150236e+00    4.8391737259e-02    8.6611037175e+03    8.6610000000e+03    1.8382352941e-03   -5.9234215593e+00    9.9776236686e-01    9.9896085902e-01
