#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.9275653667e+00    3.5192598867e+01   -9.9194209246e+00    3.9918555579e+00    8.0840585178e+00    7.0352112452e+00   -2.5762193642e+01    7.2350295445e-01    8.7110220000e+06    4.0439380673e+03    9.9996154686e-01
         1   -5.9306157532e+00    3.5237972019e+01   -9.9071999368e+00    3.9765841836e+00    8.0747248062e+00    7.0352112452e+00   -2.5739329198e+01    7.2219321012e-01    8.7024850000e+06    3.9788322841e+03    9.9996251850e-01
         2   -5.9296124137e+00    3.5216878340e+01   -9.9377484313e+00    4.0081360176e+00    8.0819313809e+00    7.0352112452e+00   -2.5768559890e+01    7.1366883217e-01    8.7107200000e+06    4.0441104694e+03    9.9996099128e-01
         3   -5.9320433934e+00    3.5249937582e+01   -9.9321827104e+00    4.0001393169e+00    8.0746477235e+00    7.0352112452e+00   -2.5769257269e+01    7.2721558991e-01    8.6842090000e+06    3.8860399241e+03    9.9996103213e-01
         4   -5.9300756075e+00    3.5226601325e+01   -9.9199765506e+00    3.9899009432e+00    8.0628795106e+00    7.0352112452e+00   -2.5745581253e+01    7.2751394617e-01    8.7126390000e+06    4.0111093074e+03    9.9996150761e-01
         5   -5.9297375272e+00    3.5217955880e+01   -9.9240567404e+00    3.9943192132e+00    8.0625615965e+00    7.0352112452e+00   -2.5730432738e+01    7.0860315564e-01    8.7172640000e+06    4.0241526574e+03    9.9996217968e-01
         6   -5.9309185596e+00    3.5231374816e+01   -9.9240846130e+00    3.9931660534e+00    8.0593728438e+00    7.0352112452e+00   -2.5738043044e+01    7.1937434183e-01    8.7107290000e+06    4.0921884189e+03    9.9996218415e-01
         7   -5.9329615942e+00    3.5263755703e+01   -9.9170906850e+00    3.9841290908e+00    8.0701008995e+00    7.0352112452e+00   -2.5759018605e+01    7.3661577519e-01    8.7239710000e+06    4.0796041414e+03    9.9996210454e-01
         8   -5.9291990702e+00    3.5216674936e+01   -9.9096824278e+00    3.9804833576e+00    8.0695104018e+00    7.0352112452e+00   -2.5729163342e+01    7.1475926700e-01    8.7090970000e+06    3.9993265797e+03    9.9996035283e-01
         9   -5.9290641250e+00    3.5212434543e+01   -9.9193297468e+00    3.9902656219e+00    8.0744788989e+00    7.0352112452e+00   -2.5740838827e+01    7.1181893603e-01    8.6742610000e+06    3.8855342508e+03    9.9996195230e-01
        10   -5.9288807437e+00    3.5211073382e+01   -9.9370607250e+00    4.0081799813e+00    8.1038510163e+00    7.0352112452e+00   -2.5807007394e+01    7.3088440702e-01    8.6323120000e+06    3.8062354855e+03    9.9996222007e-01
        11   -5.9311262799e+00    3.5237384985e+01   -9.9206428588e+00    3.9895165790e+00    8.0862319503e+00    7.0352112452e+00   -2.5772840468e+01    7.3075441317e-01    8.6336940000e+06    3.8445726523e+03    9.9996216078e-01
        12   -5.9304125123e+00    3.5239715822e+01   -9.9394502895e+00    4.0090377772e+00    8.0924861895e+00    7.0352112452e+00   -2.5797443660e+01    7.3029593562e-01    8.6727580000e+06    3.8348860561e+03    9.9996146942e-01
        13   -5.9290088974e+00    3.5212842868e+01   -9.9330291392e+00    4.0040202418e+00    8.0754861701e+00    7.0352112452e+00   -2.5756428998e+01    7.1270244314e-01    8.6959140000e+06    3.9225832471e+03    9.9996230348e-01
        14   -5.9291058025e+00    3.5211452569e+01   -9.9390871218e+00    4.0099813194e+00    8.0915541171e+00    7.0352112452e+00   -2.5788897075e+01    7.2304459040e-01    8.6762860000e+06    3.8918249325e+03    9.9996193000e-01
