#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2682684636e+00    3.9356765037e+01   -1.0298929523e+01    4.0306610599e+00    8.4303723992e+00    7.0352112452e+00   -2.6491439222e+01    7.2692605378e-01    2.5536000000e+04    2.9448904574e+00    5.3919221883e-01
         1   -6.2706932091e+00    3.9387076526e+01   -1.0303508985e+01    4.0328157759e+00    8.4135760286e+00    7.0352112452e+00   -2.6474855903e+01    7.2255964376e-01    2.5536000000e+04    2.9434457354e+00    5.4140722901e-01
         2   -6.2702133658e+00    3.9385214950e+01   -1.0295019709e+01    4.0248063434e+00    8.4322894258e+00    7.0352112452e+00   -2.6497168187e+01    7.3464780657e-01    2.5536000000e+04    2.9412997635e+00    5.3951039709e-01
         3   -6.2690540337e+00    3.9367792434e+01   -1.0258134205e+01    3.9890801709e+00    8.4114716686e+00    7.0352112452e+00   -2.6420874159e+01    7.1605704095e-01    2.5536000000e+04    2.9403622260e+00    5.3905270990e-01
         4   -6.2680123178e+00    3.9365172957e+01   -1.0284096696e+01    4.0160843782e+00    8.4374691479e+00    7.0352112452e+00   -2.6494060598e+01    7.3728350919e-01    2.5536000000e+04    2.9476140970e+00    5.3939169212e-01
         5   -6.2681007283e+00    3.9363561713e+01   -1.0283661135e+01    4.0155604063e+00    8.4474738173e+00    7.0352112452e+00   -2.6512570825e+01    7.4622462811e-01    2.5536000000e+04    2.9463096770e+00    5.3906005247e-01
         6   -6.2666101480e+00    3.9400611476e+01   -1.0249449195e+01    3.9828390467e+00    8.4195494812e+00    7.0352112452e+00   -2.6467027159e+01    7.6281723780e-01    2.5536000000e+04    2.9391622675e+00    5.4030951402e-01
         7   -6.2664640246e+00    3.9340844642e+01   -1.0254339371e+01    3.9878753468e+00    8.4088535619e+00    7.0352112452e+00   -2.6418300627e+01    7.1989644824e-01    2.5536000000e+04    2.9403698951e+00    5.4002560111e-01
         8   -6.2668594822e+00    3.9336383515e+01   -1.0302880594e+01    4.0360211115e+00    8.4277190258e+00    7.0352112452e+00   -2.6492623718e+01    7.2681285342e-01    2.5536000000e+04    2.9453493787e+00    5.3868680490e-01
         9   -6.2687459677e+00    3.9376499870e+01   -1.0273555751e+01    4.0048097829e+00    8.4190647742e+00    7.0352112452e+00   -2.6472983068e+01    7.4515129755e-01    2.5536000000e+04    2.9400067266e+00    5.3983102287e-01
        10   -6.2696222007e+00    3.9394022194e+01   -1.0256154236e+01    3.9865320348e+00    8.4156125799e+00    7.0352112452e+00   -2.6437585830e+01    7.3060776887e-01    2.5536000000e+04    2.9356979986e+00    5.4077087249e-01
        11   -6.2669508170e+00    3.9343134455e+01   -1.0270569812e+01    4.0036189954e+00    8.4195008956e+00    7.0352112452e+00   -2.6453296380e+01    7.2801442683e-01    2.5536000000e+04    2.9417176425e+00    5.3963277334e-01
        12   -6.2694629091e+00    3.9370263752e+01   -1.0264336154e+01    3.9948732448e+00    8.4235193831e+00    7.0352112452e+00   -2.6448378763e+01    7.2531198099e-01    2.5536000000e+04    2.9394388452e+00    5.4107436560e-01
        13   -6.2654611674e+00    3.9325667196e+01   -1.0266485524e+01    4.0010243564e+00    8.4134065539e+00    7.0352112452e+00   -2.6453048406e+01    7.3794508328e-01    2.5536000000e+04    2.9372626455e+00    5.4056405663e-01
        14   -6.2701825800e+00    3.9376898280e+01   -1.0273632231e+01    4.0034496514e+00    8.4249211998e+00    7.0352112452e+00   -2.6461331197e+01    7.2756652012e-01    2.5536000000e+04    2.9435515071e+00    5.3936721687e-01
        15   -6.2675808178e+00    3.9343293428e+01   -1.0249996043e+01    3.9824152252e+00    8.4131298593e+00    7.0352112452e+00   -2.6449234927e+01    7.5089777987e-01    2.5536000000e+04    2.9425521160e+00    5.4011371201e-01
        16   -6.2693983853e+00    3.9370104383e+01   -1.0301361104e+01    4.0319627182e+00    8.4229857808e+00    7.0352112452e+00   -2.6501372817e+01    7.4181468714e-01    2.5536000000e+04    2.9420271390e+00    5.3907963268e-01
        17   -6.2678828234e+00    3.9353564889e+01   -1.0258900587e+01    3.9910177636e+00    8.4271853848e+00    7.0352112452e+00   -2.6470319021e+01    7.4902180377e-01    2.5536000000e+04    2.9385338991e+00    5.3995829417e-01
        18   -6.2673378199e+00    3.9392055448e+01   -1.0290560353e+01    4.0232225328e+00    8.4427860854e+00    7.0352112452e+00   -2.6511712844e+01    7.4315516114e-01    2.5536000000e+04    2.9467189225e+00    5.4047472196e-01
        19   -6.2676676156e+00    3.9353543761e+01   -1.0308465182e+01    4.0407975661e+00    8.4353973338e+00    7.0352112452e+00   -2.6491162574e+01    7.1208881328e-01    2.5536000000e+04    2.9425130281e+00    5.3826460683e-01
