#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.9080667034e+00    3.4971223137e+01   -9.9249092181e+00    4.0168425147e+00    8.0783954000e+00    7.0352112452e+00   -2.5785315406e+01    7.4679954271e-01    6.7200000000e+03    8.2092055883e-01    5.5325520833e-01
         1   -5.9124874940e+00    3.5100304916e+01   -9.9117487775e+00    3.9992612836e+00    8.0680064906e+00    7.0352112452e+00   -2.5734435020e+01    7.1946850643e-01    6.7200000000e+03    8.2002698404e-01    5.5349237351e-01
         2   -5.9138087570e+00    3.5045488612e+01   -9.9161112622e+00    4.0023025051e+00    8.0850134844e+00    7.0352112452e+00   -2.5746706275e+01    7.1037028320e-01    6.7200000000e+03    8.2310373276e-01    5.5251581101e-01
         3   -5.9117753787e+00    3.5003331735e+01   -9.9240506479e+00    4.0122752692e+00    8.0815417004e+00    7.0352112452e+00   -2.5736810275e+01    6.9600668171e-01    6.7200000000e+03    8.2153057698e-01    5.5431082589e-01
         4   -5.9132838685e+00    3.5023271853e+01   -9.8618721296e+00    3.9485882612e+00    8.0665139378e+00    7.0352112452e+00   -2.5692739193e+01    7.2914188009e-01    6.7200000000e+03    8.2034388464e-01    5.5363653274e-01
         5   -5.9092634325e+00    3.4984464316e+01   -9.9582530616e+00    4.0489896291e+00    8.0474537741e+00    7.0352112452e+00   -2.5778881519e+01    7.3796343776e-01    6.7200000000e+03    8.2019724645e-01    5.5203218006e-01
         6   -5.9179561761e+00    3.5100438472e+01   -9.9977067832e+00    4.0797506071e+00    8.0887080017e+00    7.0352112452e+00   -2.5839737130e+01    7.1811110034e-01    6.7200000000e+03    8.2090682740e-01    5.5045107887e-01
         7   -5.9159238063e+00    3.5053864437e+01   -9.9294200069e+00    4.0134962006e+00    8.1138468951e+00    7.0352112452e+00   -2.5799108168e+01    7.2063002096e-01    6.7200000000e+03    8.2237026467e-01    5.5292968750e-01
         8   -5.9085466261e+00    3.4971293229e+01   -9.9081506253e+00    3.9996039992e+00    8.0981722687e+00    7.0352112452e+00   -2.5771510672e+01    7.2997653298e-01    6.7200000000e+03    8.2343537307e-01    5.5243210565e-01
         9   -5.9134387203e+00    3.5034426419e+01   -9.9471211888e+00    4.0336824685e+00    8.1018925211e+00    7.0352112452e+00   -2.5819296984e+01    7.3507202886e-01    6.7200000000e+03    8.2539156992e-01    5.5222284226e-01
        10   -5.9121757605e+00    3.5033472630e+01   -9.9543248349e+00    4.0421490744e+00    8.0980526999e+00    7.0352112452e+00   -2.5826495827e+01    7.3890704712e-01    6.7200000000e+03    8.2626656298e-01    5.5458054315e-01
        11   -5.9095609472e+00    3.5011250147e+01   -9.9501226075e+00    4.0405616604e+00    8.1064723295e+00    7.0352112452e+00   -2.5834074282e+01    7.4226809941e-01    6.7200000000e+03    8.2438084209e-01    5.5429222470e-01
        12   -5.9166072160e+00    3.5081045641e+01   -9.8808170926e+00    3.9642098766e+00    8.0495918526e+00    7.0352112452e+00   -2.5695713661e+01    7.3009347032e-01    6.7200000000e+03    8.2098901664e-01    5.5167410714e-01
        13   -5.9158073398e+00    3.5049593359e+01   -9.8631833677e+00    3.9473760279e+00    8.0609116969e+00    7.0352112452e+00   -2.5694586452e+01    7.3528014262e-01    6.7200000000e+03    8.2118108814e-01    5.5427827381e-01
        14   -5.9106213070e+00    3.4993717430e+01   -9.8859115790e+00    3.9752902720e+00    8.0774143530e+00    7.0352112452e+00   -2.5718868220e+01    7.2033104233e-01    6.7200000000e+03    8.2257421325e-01    5.5462704613e-01
        15   -5.9087058709e+00    3.4998682649e+01   -9.9076661598e+00    3.9989602888e+00    8.0850955550e+00    7.0352112452e+00   -2.5773502107e+01    7.4552914658e-01    6.7200000000e+03    8.2320993496e-01    5.5309709821e-01
        16   -5.9045416449e+00    3.4949682861e+01   -9.8758938012e+00    3.9713521563e+00    8.0783691055e+00    7.0352112452e+00   -2.5713989030e+01    7.2451487765e-01    6.7200000000e+03    8.2024221526e-01    5.5297154018e-01
        17   -5.9161209815e+00    3.5086750557e+01   -9.8642593854e+00    3.9481384039e+00    8.0960089835e+00    7.0352112452e+00   -2.5674714786e+01    6.7923517149e-01    6.7200000000e+03    8.2266735954e-01    5.5200427827e-01
        18   -5.9098345428e+00    3.5009542910e+01   -9.8778246961e+00    3.9679901533e+00    8.0893593321e+00    7.0352112452e+00   -2.5715984027e+01    7.1358875324e-01    6.7200000000e+03    8.2286007481e-01    5.5215773810e-01
        19   -5.9109862843e+00    3.5010000720e+01   -9.8960415471e+00    3.9850552627e+00    8.0728982285e+00    7.0352112452e+00   -2.5732746634e+01    7.2859561328e-01    6.7200000000e+03    8.2208039419e-01    5.5109747024e-01
