#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -5.8990024712e+00    3.4865064832e+01   -9.8605083577e+00    3.9615058865e+00    8.0825854623e+00    7.0352112452e+00   -2.5675108721e+01    6.9680365552e-01    1.3440000000e+03    7.5184615844e-01    5.5170758929e-01
         1   -5.9193185941e+00    3.5116632596e+01   -9.8410037853e+00    3.9216851912e+00    8.0642026541e+00    7.0352112452e+00   -2.5604167978e+01    6.6375029368e-01    1.3440000000e+03    7.5181550737e-01    5.5211495536e-01
         2   -5.9148606423e+00    3.5038750586e+01   -9.8347845140e+00    3.9199238717e+00    8.0452611292e+00    7.0352112452e+00   -2.5678370097e+01    7.6311320864e-01    1.3440000000e+03    7.5114599990e-01    5.5333891369e-01
         3   -5.9045136330e+00    3.4946571331e+01   -9.7860322341e+00    3.8815186011e+00    8.1006355597e+00    7.0352112452e+00   -2.5689005674e+01    7.6712663532e-01    1.3440000000e+03    7.5236180317e-01    5.5424107143e-01
         4   -5.9248678308e+00    3.5186212191e+01   -9.9786206176e+00    4.0537527868e+00    8.0998598943e+00    7.0352112452e+00   -2.5806654280e+01    6.9296252325e-01    1.3440000000e+03    7.5245182544e-01    5.5327380952e-01
         5   -5.9154697279e+00    3.5095859524e+01   -9.8669049235e+00    3.9514351956e+00    8.0866014186e+00    7.0352112452e+00   -2.5771982868e+01    7.8326528012e-01    1.3440000000e+03    7.5390993029e-01    5.5226190476e-01
         6   -5.9185429515e+00    3.5077583689e+01   -9.8508826737e+00    3.9323397222e+00    8.0388197804e+00    7.0352112452e+00   -2.5618533432e+01    6.9361973272e-01    1.3440000000e+03    7.5121352530e-01    5.5391741071e-01
         7   -5.9157406528e+00    3.5042410861e+01   -9.8615235131e+00    3.9457828603e+00    8.0276328355e+00    7.0352112452e+00   -2.5609914927e+01    6.8554733341e-01    1.3440000000e+03    7.5232607214e-01    5.5339099702e-01
         8   -5.9026269181e+00    3.4895287490e+01   -9.8413521176e+00    3.9387251995e+00    8.0040923093e+00    7.0352112452e+00   -2.5586904794e+01    7.0624912144e-01    1.3440000000e+03    7.5041874723e-01    5.5289992560e-01
         9   -5.9173941552e+00    3.5068793259e+01   -9.8760610959e+00    3.9586669407e+00    8.0867921921e+00    7.0352112452e+00   -2.5757489885e+01    7.5942535207e-01    1.3440000000e+03    7.5245290553e-01    5.5354724702e-01
