#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2556310070e+00    3.9257799258e+01   -1.0299829852e+01    4.0441988451e+00    8.4251726834e+00    7.0352112452e+00   -2.6506043628e+01    7.4582984770e-01    4.0320000000e+03    5.0090620134e-01    5.4052734375e-01
         1   -6.2626709250e+00    3.9321456393e+01   -1.0287447927e+01    4.0247770024e+00    8.4396450138e+00    7.0352112452e+00   -2.6500941143e+01    7.3863695607e-01    4.0320000000e+03    5.0231520732e-01    5.3945777530e-01
         2   -6.2586580935e+00    3.9254079119e+01   -1.0231051056e+01    3.9723929630e+00    8.4409189192e+00    7.0352112452e+00   -2.6453686431e+01    7.4650521049e-01    4.0320000000e+03    5.0047116289e-01    5.4028707837e-01
         3   -6.2622499230e+00    3.9292080579e+01   -1.0237847744e+01    3.9755978207e+00    8.4410394873e+00    7.0352112452e+00   -2.6422838716e+01    7.0874024002e-01    4.0320000000e+03    5.0145737518e-01    5.4201543899e-01
         4   -6.2601948895e+00    3.9276912732e+01   -1.0214415024e+01    3.9542201347e+00    8.4450935503e+00    7.0352112452e+00   -2.6465062121e+01    7.7034230093e-01    4.0320000000e+03    5.0244831472e-01    5.4007006448e-01
         5   -6.2662544130e+00    3.9358715482e+01   -1.0385566256e+01    4.1193118426e+00    8.4485807443e+00    7.0352112452e+00   -2.6613717038e+01    7.4435879298e-01    4.0320000000e+03    5.0234608279e-01    5.3903924851e-01
         6   -6.2716648081e+00    3.9408390878e+01   -1.0325340107e+01    4.0536752992e+00    8.4468709181e+00    7.0352112452e+00   -2.6531489709e+01    7.2406743839e-01    4.0320000000e+03    5.0205856982e-01    5.4163566468e-01
         7   -6.2639272264e+00    3.9301302516e+01   -1.0272716586e+01    4.0087893597e+00    8.4389207458e+00    7.0352112452e+00   -2.6456346053e+01    7.0949747621e-01    4.0320000000e+03    5.0201230100e-01    5.4142640129e-01
         8   -6.2542515666e+00    3.9250369739e+01   -1.0285979287e+01    4.0317277201e+00    8.4034229033e+00    7.0352112452e+00   -2.6444161003e+01    7.1954756741e-01    4.0320000000e+03    4.9810572167e-01    5.3942677331e-01
         9   -6.2629527438e+00    3.9295516455e+01   -1.0291768696e+01    4.0288159522e+00    8.4207434933e+00    7.0352112452e+00   -2.6484590792e+01    7.3686735766e-01    4.0320000000e+03    5.0021027916e-01    5.3931826637e-01
        10   -6.2673929904e+00    3.9365183680e+01   -1.0189155353e+01    3.9217623626e+00    8.4660524784e+00    7.0352112452e+00   -2.6421645193e+01    7.3122611664e-01    4.0320000000e+03    5.0149349359e-01    5.3921750992e-01
        11   -6.2582368508e+00    3.9245444524e+01   -1.0232241720e+01    3.9740048688e+00    8.4519131561e+00    7.0352112452e+00   -2.6455439655e+01    7.3607353367e-01    4.0320000000e+03    5.0295120596e-01    5.4271298363e-01
        12   -6.2616332341e+00    3.9289045252e+01   -1.0320506900e+01    4.0588736656e+00    8.4329683924e+00    7.0352112452e+00   -2.6509668930e+01    7.2098239252e-01    4.0320000000e+03    5.0351380688e-01    5.3953528026e-01
        13   -6.2625693029e+00    3.9284394011e+01   -1.0248440702e+01    3.9858713988e+00    8.4244951361e+00    7.0352112452e+00   -2.6406861713e+01    6.9871462967e-01    4.0320000000e+03    5.0004396217e-01    5.3986080109e-01
        14   -6.2583475522e+00    3.9220191534e+01   -1.0242653947e+01    3.9843063946e+00    8.4292981525e+00    7.0352112452e+00   -2.6434170533e+01    7.2700718847e-01    4.0320000000e+03    5.0024327445e-01    5.4013206845e-01
        15   -6.2689164193e+00    3.9363191302e+01   -1.0242328257e+01    3.9734118378e+00    8.4250941774e+00    7.0352112452e+00   -2.6466118077e+01    7.6348439726e-01    4.0320000000e+03    4.9997658319e-01    5.4131789435e-01
        16   -6.2644189636e+00    3.9316986804e+01   -1.0288215436e+01    4.0237964726e+00    8.4174908866e+00    7.0352112452e+00   -2.6464221165e+01    7.2330359712e-01    4.0320000000e+03    5.0037069604e-01    5.4207744296e-01
        17   -6.2616723865e+00    3.9290557722e+01   -1.0272467882e+01    4.0107954950e+00    8.4419523695e+00    7.0352112452e+00   -2.6502133174e+01    7.5250167783e-01    4.0320000000e+03    5.0269795765e-01    5.3775266617e-01
        18   -6.2629674180e+00    3.9293480969e+01   -1.0290805827e+01    4.0278384094e+00    8.4451856199e+00    7.0352112452e+00   -2.6505358802e+01    7.3415610903e-01    4.0320000000e+03    4.9990951609e-01    5.4127914187e-01
        19   -6.2640744036e+00    3.9353969822e+01   -1.0232636031e+01    3.9685616274e+00    8.4511823124e+00    7.0352112452e+00   -2.6516761116e+01    7.9773152713e-01    4.0320000000e+03    5.0220021049e-01    5.3958178323e-01
