#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -6.2663690711e+00    3.9349075707e+01   -1.0298849106e+01    4.0324800344e+00    8.4413530555e+00    7.0352112452e+00   -2.6498375532e+01    7.2296212616e-01    5.1072000000e+04    6.3199857772e+00    5.3925034755e-01
         1   -6.2611190704e+00    3.9280452054e+01   -1.0273000714e+01    4.0118816436e+00    8.4350764719e+00    7.0352112452e+00   -2.6478526623e+01    7.3523819198e-01    5.1072000000e+04    6.3218412452e+00    5.3887832374e-01
         2   -6.2650098216e+00    3.9395931239e+01   -1.0292654953e+01    4.0276451314e+00    8.4364883204e+00    7.0352112452e+00   -2.6505419579e+01    7.4106506036e-01    5.1072000000e+04    6.3256652339e+00    5.3914388021e-01
         3   -6.2637195763e+00    3.9314350897e+01   -1.0308691891e+01    4.0449723148e+00    8.4485536888e+00    7.0352112452e+00   -2.6525117439e+01    7.3266061378e-01    5.1072000000e+04    6.3274566070e+00    5.3887771186e-01
         4   -6.2633220827e+00    3.9312206820e+01   -1.0294270676e+01    4.0309485938e+00    8.4355024776e+00    7.0352112452e+00   -2.6507063057e+01    7.4207865788e-01    5.1072000000e+04    6.3256435217e+00    5.3885384849e-01
         5   -6.2649747990e+00    3.9324897477e+01   -1.0266044878e+01    4.0010700786e+00    8.4184969037e+00    7.0352112452e+00   -2.6453867496e+01    7.3411446952e-01    5.1072000000e+04    6.3092414403e+00    5.3988853971e-01
         6   -6.2657218886e+00    3.9336740046e+01   -1.0295639069e+01    4.0299171807e+00    8.4478630023e+00    7.0352112452e+00   -2.6506802321e+01    7.2808900417e-01    5.1072000000e+04    6.3271938692e+00    5.3942901688e-01
         7   -6.2639185139e+00    3.9308093685e+01   -1.0269624175e+01    4.0057056614e+00    8.4332798525e+00    7.0352112452e+00   -2.6490079508e+01    7.5196423499e-01    5.1072000000e+04    6.3184770418e+00    5.3986100505e-01
         8   -6.2628282884e+00    3.9322566507e+01   -1.0283799487e+01    4.0209711981e+00    8.4358160607e+00    7.0352112452e+00   -2.6488169355e+01    7.3334256301e-01    5.1072000000e+04    6.3220126866e+00    5.3900926633e-01
         9   -6.2660412399e+00    3.9351917540e+01   -1.0291432484e+01    4.0253912446e+00    8.4321630844e+00    7.0352112452e+00   -2.6495191388e+01    7.3638457411e-01    5.1072000000e+04    6.3307364936e+00    5.3921547032e-01
        10   -6.2636166357e+00    3.9330025622e+01   -1.0286328938e+01    4.0227123028e+00    8.4389002739e+00    7.0352112452e+00   -2.6507691293e+01    7.4725083565e-01    5.1072000000e+04    6.3245495887e+00    5.3968111196e-01
        11   -6.2634303545e+00    3.9301604236e+01   -1.0279707638e+01    4.0162772838e+00    8.4214720412e+00    7.0352112452e+00   -2.6471197944e+01    7.3480701955e-01    5.1072000000e+04    6.3080221000e+00    5.3858768014e-01
        12   -6.2646000057e+00    3.9327135001e+01   -1.0301854217e+01    4.0372542118e+00    8.4310265593e+00    7.0352112452e+00   -2.6479477352e+01    7.1138532961e-01    5.1072000000e+04    6.3222119083e+00    5.3927115151e-01
        13   -6.2605794605e+00    3.9280805865e+01   -1.0277723396e+01    4.0171439355e+00    8.4273803029e+00    7.0352112452e+00   -2.6465472145e+01    7.2515720062e-01    5.1072000000e+04    6.3202791352e+00    5.3950672580e-01
        14   -6.2654190815e+00    3.9340195221e+01   -1.0297651673e+01    4.0322325911e+00    8.4450343461e+00    7.0352112452e+00   -2.6518620957e+01    7.4072369355e-01    5.1072000000e+04    6.3314869634e+00    5.3814896127e-01
        15   -6.2636087704e+00    3.9311175589e+01   -1.0283544036e+01    4.0199352656e+00    8.4354316806e+00    7.0352112452e+00   -2.6499248043e+01    7.4506108072e-01    5.1072000000e+04    6.3181239524e+00    5.3945532777e-01
        16   -6.2615029289e+00    3.9281986734e+01   -1.0274435843e+01    4.0129329139e+00    8.4429728076e+00    7.0352112452e+00   -2.6481586804e+01    7.2896690849e-01    5.1072000000e+04    6.3297245655e+00    5.3994177338e-01
        17   -6.2626168383e+00    3.9303947254e+01   -1.0309785651e+01    4.0471688126e+00    8.4409576074e+00    7.0352112452e+00   -2.6533909853e+01    7.4795534894e-01    5.1072000000e+04    6.3225369896e+00    5.3989710605e-01
        18   -6.2646988881e+00    3.9337191794e+01   -1.0281928200e+01    4.0172293118e+00    8.4210146414e+00    7.0352112452e+00   -2.6463547900e+01    7.2539381344e-01    5.1072000000e+04    6.3173161536e+00    5.3952752976e-01
        19   -6.2637752663e+00    3.9331598752e+01   -1.0280436247e+01    4.0166609809e+00    8.4272388081e+00    7.0352112452e+00   -2.6468490297e+01    7.2560399603e-01    5.1072000000e+04    6.3134058831e+00    5.3953242481e-01
