Method          GS          sing         trip
CISD/RHF       -6.2642     -5.8231      -5.9358  
CISD/MR        -6.2711     -5.9158       NaN
RCCSD(T)       -6.2792(1)   NaN         -5.9563(1)
CCSDT(Q)       -6.2799(1)   NaN         -5.9599(1)
DMC/DFT        -6.2777(1)  -5.9301(2)   -5.9532(1)
VMC/CIS        -6.2691(3)  -5.9210(3)    NaN
DMC/CIS        -6.2767(2)  -5.9319(2)    NaN
CIPSI          -6.2746     -5.9224       NaN
VMC/CIPSI      -6.2644(2)  -5.9123(2)    NaN
CIPSI/N        -6.2774     -5.9332       NaN
VMC/CIPSI/N    -6.2695(1)  -5.9215(1)    NaN
