State  Ne    Spin  System       Term                 DMC         SCF           CC
GS     4     3     Si           $^3$P               -3.7601(1)  -3.6724778(1)  -3.76205(6)
GS     6     1     SiH$_2$      $^1$A$_1$           -5.0026(1)  -4.85364(8)    -5.00726(9)
EX     6     1     SiH$_2$      $^1$B$_1$(vert)$^b$ -4.9136(1)  -4.7619578916  -4.918375
EX     6     1     SiH$_2$      $^1$B$_1$(adia)$^b$ -4.9317(1)  -4.7833296554  -4.935274
EX     6     3     SiH$_2$      $^3$B$_1$(vert)     -4.9579(1)  -4.83100(7)    -4.96088(8)
EX     6     3     SiH$_2$      $^3$B$_1$(adia)     -4.9718(1)  -4.84633(7)    -4.97456(8)
GS     8     1     SiH$_4$      $^1$A$_1$           -6.2777(1)  -6.0880(1)     -6.2799(1)
EX     8     3     SiH$_4$      $^3$T$_2$           -5.9532(1)  -5.7735(1)     -5.9599(1)
GS     14    1     Si$_2$H$_6$  $^1$A$_{1g}$        -11.3725(2) -11.02316(27)  -11.3782(3)
EX     14    3     Si$_2$H$_6$  $^3$B$_{1g}$        -11.1248(2) -10.78777(45)  -11.1336(5)
